5	13:23	21:11	46:0	514:0	526:0
5	14:23	22:11	47:0	515:0	527:0
6	17:10	24:11	35:26	72:0	240:0	252:0
6	18:10	24:27	25:11	73:0	241:0	253:0
6	19:10	25:27	26:11	74:0	242:0	254:0
6	20:10	26:27	27:11	75:0	243:0	255:0
6	21:10	27:27	28:11	76:0	244:0	256:0
6	22:10	28:27	29:11	77:0	245:0	257:0
6	23:10	29:27	30:11	78:0	246:0	258:0
6	12:11	30:27	31:11	79:0	247:0	259:0
6	13:11	31:27	32:11	80:0	248:0	260:0
6	14:11	32:27	33:11	81:0	249:0	261:0
6	15:11	33:27	34:11	82:0	250:0	262:0
6	16:11	34:27	35:11	83:0	251:0	263:0
6	23:8	52:23	96:0	215:19	264:0	276:0
6	12:9	53:23	97:0	204:20	265:0	277:0
6	13:9	54:23	98:0	205:20	266:0	278:0
6	14:9	55:23	99:0	206:20	267:0	279:0
6	15:9	56:23	100:0	207:20	268:0	280:0
6	16:9	57:23	101:0	208:20	269:0	281:0
6	17:9	58:23	102:0	209:20	270:0	282:0
6	18:9	59:23	103:0	210:20	271:0	283:0
6	19:9	48:24	104:0	211:20	272:0	284:0
6	20:9	49:24	105:0	212:20	273:0	285:0
6	21:9	50:24	106:0	213:20	274:0	286:0
6	22:9	51:24	107:0	214:20	275:0	287:0
6	10:12	98:26	156:0	175:14	324:0	336:0
6	11:12	99:26	157:0	176:14	325:0	337:0
6	0:13	100:26	158:0	177:14	326:0	338:0
6	1:13	101:26	159:0	178:14	327:0	339:0
6	2:13	102:26	160:0	179:14	328:0	340:0
6	3:13	103:26	161:0	168:15	329:0	341:0
6	4:13	104:26	162:0	169:15	330:0	342:0
6	5:13	105:26	163:0	170:15	331:0	343:0
6	6:13	106:26	164:0	171:15	332:0	344:0
6	7:13	107:26	165:0	172:15	333:0	345:0
6	8:13	96:27	166:0	173:15	334:0	346:0
6	9:13	97:27	167:0	174:15	335:0	347:0
6	1:22	6:16	192:0	232:5	360:0	372:0
6	2:22	7:16	193:0	233:5	361:0	373:0
6	3:22	8:16	194:0	234:5	362:0	374:0
6	4:22	9:16	195:0	235:5	363:0	375:0
6	5:22	10:16	196:0	236:5	364:0	376:0
6	6:22	11:16	197:0	237:5	365:0	377:0
6	0:17	7:22	198:0	238:5	366:0	378:0
6	1:17	8:22	199:0	239:5	367:0	379:0
6	2:17	9:22	200:0	228:6	368:0	380:0
6	3:17	10:22	201:0	229:6	369:0	381:0
6	4:17	11:22	202:0	230:6	370:0	382:0
6	0:23	5:17	203:0	231:6	371:0	383:0
6	6:26	8:27	88:29	204:0	372:0	384:0
6	7:26	9:27	89:29	205:0	373:0	385:0
6	8:26	10:27	90:29	206:0	374:0	386:0
6	9:26	11:27	91:29	207:0	375:0	387:0
6	0:28	10:26	92:29	208:0	376:0	388:0
6	1:28	11:26	93:29	209:0	377:0	389:0
6	0:27	2:28	94:29	210:0	378:0	390:0
6	1:27	3:28	95:29	211:0	379:0	391:0
6	2:27	4:28	84:0	212:0	380:0	392:0
6	3:27	5:28	85:0	213:0	381:0	393:0
6	4:27	6:28	86:0	214:0	382:0	394:0
6	5:27	7:28	87:0	215:0	383:0	395:0
6	35:21	58:25	216:0	217:10	384:0	396:0
6	24:22	59:25	217:0	218:10	385:0	397:0
6	25:22	48:26	218:0	219:10	386:0	398:0
6	26:22	49:26	219:0	220:10	387:0	399:0
6	27:22	50:26	220:0	221:10	388:0	400:0
6	28:22	51:26	221:0	222:10	389:0	401:0
6	29:22	52:26	222:0	223:10	390:0	402:0
