10	0:16	13:3	33:6	36:1	58:1	65:1	193:12	229:24	341:0	353:0
10	1:16	14:3	34:6	37:1	59:1	66:1	194:12	230:24	342:0	354:0
10	2:16	15:3	35:6	38:1	48:2	67:1	195:12	231:24	343:0	355:0
10	3:16	16:3	24:7	39:1	49:2	68:1	196:12	232:24	344:0	356:0
10	4:16	17:3	25:7	40:1	50:2	69:1	197:12	233:24	345:0	357:0
10	5:16	18:3	26:7	41:1	51:2	70:1	198:12	234:24	346:0	358:0
10	6:16	19:3	27:7	42:1	52:2	71:1	199:12	235:24	347:0	359:0
10	6:28	16:7	33:8	44:16	52:26	88:17	150:9	264:10	348:0	360:0
10	7:28	17:7	34:8	45:16	53:26	89:17	151:9	265:10	349:0	361:0
10	8:28	18:7	35:8	46:16	54:26	90:17	152:9	266:10	350:0	362:0
10	9:28	19:7	24:9	47:16	55:26	91:17	153:9	267:10	351:0	363:0
10	10:28	20:7	25:9	36:17	56:26	92:17	154:9	268:10	352:0	364:0
10	11:28	21:7	26:9	37:17	57:26	93:17	155:9	269:10	353:0	365:0
10	0:29	22:7	27:9	38:17	58:26	94:17	144:10	270:10	354:0	366:0
10	1:29	23:7	28:9	39:17	59:26	95:17	145:10	271:10	355:0	367:0
10	2:29	12:8	29:9	40:17	48:27	84:18	146:10	272:10	356:0	368:0
10	3:29	13:8	30:9	41:17	49:27	85:18	147:10	273:10	357:0	369:0
10	4:29	14:8	31:9	42:17	50:27	86:18	148:10	274:10	358:0	370:0
10	5:29	15:8	32:9	43:17	51:27	87:18	149:10	275:10	359:0	371:0
10	6:1	20:0	27:5	45:27	53:0	93:10	184:19	276:26	360:0	372:0
10	7:1	21:0	28:5	46:27	54:0	94:10	185:19	277:26	361:0	373:0
10	8:1	22:0	29:5	47:27	55:0	95:10	186:19	278:26	362:0	374:0
10	9:1	23:0	30:5	36:28	56:0	84:11	187:19	279:26	363:0	375:0
10	10:1	12:1	31:5	37:28	57:0	85:11	188:19	280:26	364:0	376:0
10	11:1	13:1	32:5	38:28	58:0	86:11	189:19	281:26	365:0	377:0
10	0:2	14:1	33:5	39:28	59:0	87:11	190:19	282:26	366:0	378:0
10	1:2	15:1	34:5	40:28	48:1	88:11	191:19	283:26	367:0	379:0
10	2:2	16:1	35:5	41:28	49:1	89:11	180:20	284:26	368:0	380:0
10	3:2	17:1	24:6	42:28	50:1	90:11	181:20	285:26	369:0	381:0
10	4:2	18:1	25:6	43:28	51:1	91:11	182:20	286:26	370:0	382:0
10	5:2	19:1	26:6	44:28	52:1	92:11	183:20	287:26	371:0	383:0
10	6:9	22:6	29:18	37:2	54:26	80:1	195:17	226:0	372:0	384:0
10	7:9	23:6	30:18	38:2	55:26	81:1	196:17	227:0	373:0	385:0
10	8:9	12:7	31:18	39:2	56:26	82:1	197:17	216:1	374:0	386:0
10	9:9	13:7	32:18	40:2	57:26	83:1	198:17	217:1	375:0	387:0
10	10:9	14:7	33:18	41:2	58:26	72:2	199:17	218:1	376:0	388:0
10	11:9	15:7	34:18	42:2	59:26	73:2	200:17	219:1	377:0	389:0
10	0:10	16:7	35:18	43:2	48:27	74:2	201:17	220:1	378:0	390:0
10	1:10	17:7	24:19	44:2	49:27	75:2	202:17	221:1	379:0	391:0
10	2:10	18:7	25:19	45:2	50:27	76:2	203:17	222:1	380:0	392:0
10	3:10	19:7	26:19	46:2	51:27	77:2	192:18	223:1	381:0	393:0
10	4:10	20:7	27:19	47:2	52:27	78:2	193:18	224:1	382:0	394:0
10	5:10	21:7	28:19	36:3	53:27	79:2	194:18	225:1	383:0	395:0
10	5:7	21:7	32:3	47:6	58:24	65:13	154:21	281:0	384:0	396:0
10	6:7	22:7	33:3	36:7	59:24	66:13	155:21	282:0	385:0	397:0
10	7:7	23:7	34:3	37:7	48:25	67:13	144:22	283:0	386:0	398:0
10	8:7	12:8	35:3	38:7	49:25	68:13	145:22	284:0	387:0	399:0
10	9:7	13:8	24:4	39:7	50:25	69:13	146:22	285:0	388:0	400:0
10	10:7	14:8	25:4	40:7	51:25	70:13	147:22	286:0	389:0	401:0
10	11:7	15:8	26:4	41:7	52:25	71:13	148:22	287:0	390:0	402:0
10	0:8	16:8	27:4	42:7	53:25	60:14	149:22	276:1	391:0	403:0
10	1:8	17:8	28:4	43:7	54:25	61:14	150:22	277:1	392:0	404:0
10	2:8	18:8	29:4	44:7	55:25	62:14	151:22	278:1	393:0	405:0
10	3:8	19:8	30:4	45:7	56:25	63:14	152:22	279:1	394:0	406:0
10	4:8	20:8	31:4	46:7	57:25	64:14	153:22	280:1	395:0	407:0
10	4:28	14:12	34:18	45:16	52:29	75:0	179:22	208:23	396:0	408:0
10	5:28	15:12	35:18	46:16	53:29	76:0	168:23	209:23	397:0	409:0
10	6:28	16:12	24:19	47:16	54:29	77:0	169:23	210:23	398:0	410:0
10	7:28	17:12	25:19	36:17	55:29	78:0	170:23	211:23	399:0	411:0
10	8:28	18:12	26:19	37:17	56:29	79:0	171:23	212:23	400:0	412:0
10	9:28	19:12	27:19	38:17	57:29	80:0	172:23	213:23	401:0	413:0
10	10:28	20:12	28:19	39:17	58:29	81:0	173:23	214:23	402:0	414:0
10	11:28	21:12	29:19	40:17	59:29	82:0	174:23	215:23	403:0	415:0
10	0:29	22:12	30:19	41:17	48:0	83:0	175:23	204:24	404:0	416:0
10	1:29	23:12	31:19	42:17	49:0	72:1	176:23	205:24	405:0	417:0
10	2:29	12:13	32:19	43:17	50:0	73:1	177:23	206:24	406:0	418:0
10	3:29	13:13	33:19	44:17	51:0	74:1	178:23	207:24	407:0	419:0
10	11:29	14:1	29:2	46:21	49:1	88:2	120:0	213:5	408:0	420:0
10	0:0	15:1	30:2	47:21	50:1	89:2	121:0	214:5	409:0	421:0
