13	31:0	43:24	65:14	151:0	169:28	188:20	271:0	278:18	319:7	391:0	405:18	499:0	511:0
13	32:0	44:24	66:14	152:0	170:28	189:20	272:0	279:18	320:7	392:0	406:18	500:0	512:0
13	33:0	45:24	67:14	153:0	171:28	190:20	273:0	280:18	321:7	393:0	407:18	501:0	513:0
13	34:0	46:24	68:14	154:0	172:28	191:20	274:0	281:18	322:7	394:0	396:19	502:0	514:0
13	35:0	47:24	69:14	155:0	173:28	180:21	275:0	282:18	323:7	395:0	397:19	503:0	515:0
13	36:0	54:1	154:12	156:0	158:4	214:10	233:21	276:0	356:28	396:0	412:20	504:0	516:0
13	37:0	55:1	155:12	157:0	159:4	215:10	234:21	277:0	357:28	397:0	413:20	505:0	517:0
13	38:0	56:1	144:13	158:0	160:4	204:11	235:21	278:0	358:28	398:0	414:20	506:0	518:0
13	39:0	57:1	145:13	159:0	161:4	205:11	236:21	279:0	359:28	399:0	415:20	507:0	519:0
13	40:0	58:1	146:13	160:0	162:4	206:11	237:21	280:0	348:29	400:0	416:20	508:0	520:0
13	41:0	59:1	147:13	161:0	163:4	207:11	238:21	281:0	349:29	401:0	417:20	509:0	521:0
13	42:0	48:2	148:13	162:0	164:4	208:11	239:21	282:0	350:29	402:0	418:20	510:0	522:0
13	43:0	49:2	149:13	163:0	165:4	209:11	228:22	283:0	351:29	403:0	419:20	511:0	523:0
13	44:0	50:2	150:13	164:0	166:4	210:11	229:22	284:0	352:29	404:0	408:21	512:0	524:0
13	45:0	51:2	151:13	165:0	167:4	211:11	230:22	285:0	353:29	405:0	409:21	513:0	525:0
13	46:0	52:2	152:13	156:5	166:0	212:11	231:22	286:0	354:29	406:0	410:21	514:0	526:0
13	47:0	53:2	153:13	157:5	167:0	213:11	232:22	287:0	355:29	407:0	411:21	515:0	527:0
13	47:18	48:0	105:4	108:6	168:0	233:9	267:8	288:0	359:20	384:13	408:0	516:0	528:0
13	36:19	49:0	106:4	109:6	169:0	234:9	268:8	289:0	348:21	385:13	409:0	517:0	529:0
13	37:19	50:0	107:4	110:6	170:0	235:9	269:8	290:0	349:21	386:13	410:0	518:0	530:0
13	38:19	51:0	96:5	111:6	171:0	236:9	270:8	291:0	350:21	387:13	411:0	519:0	531:0
13	39:19	52:0	97:5	112:6	172:0	237:9	271:8	292:0	351:21	388:13	412:0	520:0	532:0
13	40:19	53:0	98:5	113:6	173:0	238:9	272:8	293:0	352:21	389:13	413:0	521:0	533:0
13	41:19	54:0	99:5	114:6	174:0	239:9	273:8	294:0	353:21	390:13	414:0	522:0	534:0
13	42:19	55:0	100:5	115:6	175:0	228:10	274:8	295:0	354:21	391:13	415:0	523:0	535:0
13	43:19	56:0	101:5	116:6	176:0	229:10	275:8	296:0	355:21	392:13	416:0	524:0	536:0
13	44:19	57:0	102:5	117:6	177:0	230:10	264:9	297:0	356:21	393:13	417:0	525:0	537:0
13	45:19	58:0	103:5	118:6	178:0	231:10	265:9	298:0	357:21	394:13	418:0	526:0	538:0
13	46:19	59:0	104:5	119:6	179:0	232:10	266:9	299:0	358:21	395:13	419:0	527:0	539:0
