5	20:11	33:5	45:25	248:0	260:0
5	21:11	34:5	46:25	249:0	261:0
5	22:11	35:5	47:25	250:0	262:0
5	23:11	24:6	36:26	251:0	263:0
5	12:24	35:6	105:4	252:0	264:0
5	13:24	24:7	106:4	253:0	265:0
5	14:24	25:7	107:4	254:0	266:0
5	15:24	26:7	96:5	255:0	267:0
5	16:24	27:7	97:5	256:0	268:0
5	17:24	28:7	98:5	257:0	269:0
5	18:24	29:7	99:5	258:0	270:0
5	19:24	30:7	100:5	259:0	271:0
5	20:24	31:7	101:5	260:0	272:0
5	21:24	32:7	102:5	261:0	273:0
5	22:24	33:7	103:5	262:0	274:0
5	23:24	34:7	104:5	263:0	275:0
5	8:12	23:0	39:7	264:0	276:0
5	9:12	12:1	40:7	265:0	277:0
5	10:12	13:1	41:7	266:0	278:0
5	11:12	14:1	42:7	267:0	279:0
5	0:13	15:1	43:7	268:0	280:0
5	1:13	16:1	44:7	269:0	281:0
5	2:13	17:1	45:7	270:0	282:0
5	3:13	18:1	46:7	271:0	283:0
5	4:13	19:1	47:7	272:0	284:0
5	5:13	20:1	36:8	273:0	285:0
5	6:13	21:1	37:8	274:0	286:0
5	7:13	22:1	38:8	275:0	287:0
5	22:23	28:11	91:0	276:0	288:0
5	23:23	29:11	92:0	277:0	289:0
5	12:24	30:11	93:0	278:0	290:0
5	13:24	31:11	94:0	279:0	291:0
5	14:24	32:11	95:0	280:0	292:0
5	15:24	33:11	84:1	281:0	293:0
5	16:24	34:11	85:1	282:0	294:0
5	17:24	35:11	86:1	283:0	295:0
5	18:24	24:12	87:1	284:0	296:0
5	19:24	25:12	88:1	285:0	297:0
5	20:24	26:12	89:1	286:0	298:0
5	21:24	27:12	90:1	287:0	299:0
5	11:7	22:24	48:0	288:0	300:0
5	0:8	23:24	49:0	289:0	301:0
5	1:8	12:25	50:0	290:0	302:0
5	2:8	13:25	51:0	291:0	303:0
5	3:8	14:25	52:0	292:0	304:0
5	4:8	15:25	53:0	293:0	305:0
5	5:8	16:25	54:0	294:0	306:0
5	6:8	17:25	55:0	295:0	307:0
5	7:8	18:25	56:0	296:0	308:0
5	8:8	19:25	57:0	297:0	309:0
5	9:8	20:25	58:0	298:0	310:0
5	10:8	21:25	59:0	299:0	311:0
5	10:10	21:0	47:10	312:0	324:0
5	11:10	22:0	36:11	313:0	325:0
5	0:11	23:0	37:11	314:0	326:0
5	1:11	12:1	38:11	315:0	327:0
5	2:11	13:1	39:11	316:0	328:0
5	3:11	14:1	40:11	317:0	329:0
5	4:11	15:1	41:11	318:0	330:0
5	5:11	16:1	42:11	319:0	331:0
5	6:11	17:1	43:11	320:0	332:0
5	7:11	18:1	44:11	321:0	333:0
5	8:11	19:1	45:11	322:0	334:0
5	9:11	20:1	46:11	323:0	335:0
5	5:23	33:26	92:3	324:0	336:0
5	6:23	34:26	93:3	325:0	337:0
5	7:23	35:26	94:3	326:0	338:0
5	8:23	24:27	95:3	327:0	339:0
5	9:23	25:27	84:4	328:0	340:0
5	10:23	26:27	85:4	329:0	341:0
5	11:23	27:27	86:4	330:0	342:0
5	0:24	28:27	87:4	331:0	343:0
5	1:24	29:27	88:4	332:0	344:0
5	2:24	30:27	89:4	333:0	345:0
5	3:24	31:27	90:4	334:0	346:0
5	4:24	32:27	91:4	335:0	347:0
5	6:0	20:24	92:7	336:0	348:0
5	7:0	21:24	93:7	337:0	349:0
5	8:0	22:24	94:7	338:0	350:0
5	9:0	23:24	95:7	339:0	351:0
5	10:0	12:25	84:8	340:0	352:0
5	11:0	13:25	85:8	341:0	353:0
5	0:1	14:25	86:8	342:0	354:0
5	1:1	15:25	87:8	343:0	355:0
5	2:1	16:25	88:8	344:0	356:0
5	3:1	17:25	89:8	345:0	357:0
5	4:1	18:25	90:8	346:0	358:0
5	5:1	19:25	91:8	347:0	359:0
5	11:5	34:20	81:4	348:0	360:0
5	0:6	35:20	82:4	349:0	361:0
5	1:6	24:21	83:4	350:0	362:0
5	2:6	25:21	72:5	351:0	363:0
5	3:6	26:21	73:5	352:0	364:0
5	4:6	27:21	74:5	353:0	365:0
5	5:6	28:21	75:5	354:0	366:0
5	6:6	29:21	76:5	355:0	367:0
5	7:6	30:21	77:5	356:0	368:0
5	8:6	31:21	78:5	357:0	369:0
5	9:6	32:21	79:5	358:0	370:0
5	10:6	33:21	80:5	359:0	371:0
5	21:28	32:25	139:3	360:0	372:0
5	22:28	33:25	140:3	361:0	373:0
5	23:28	34:25	141:3	362:0	374:0
5	12:29	35:25	142:3	363:0	375:0
5	13:29	24:26	143:3	364:0	376:0
5	14:29	25:26	132:4	365:0	377:0
5	15:29	26:26	133:4	366:0	378:0
5	16:29	27:26	134:4	367:0	379:0
5	17:29	28:26	135:4	368:0	380:0
5	18:29	29:26	136:4	369:0	381:0
5	19:29	30:26	137:4	370:0	382:0
5	20:29	31:26	138:4	371:0	383:0
5	2:24	34:28	119:9	384:0	396:0
5	3:24	35:28	108:10	385:0	397:0
5	4:24	24:29	109:10	386:0	398:0
5	5:24	25:29	110:10	387:0	399:0
5	6:24	26:29	111:10	388:0	400:0
5	7:24	27:29	112:10	389:0	401:0
5	8:24	28:29	113:10	390:0	402:0
5	9:24	29:29	114:10	391:0	403:0
5	10:24	30:29	115:10	392:0	404:0
5	11:24	31:29	116:10	393:0	405:0
5	0:25	32:29	117:10	394:0	406:0
5	1:25	33:29	118:10	395:0	407:0
5	9:13	31:9	110:3	408:0	420:0
5	10:13	32:9	111:3	409:0	421:0
5	11:13	33:9	112:3	410:0	422:0
5	0:14	34:9	113:3	411:0	423:0
5	1:14	35:9	114:3	412:0	424:0
5	2:14	24:10	115:3	413:0	425:0
5	3:14	25:10	116:3	414:0	426:0
5	4:14	26:10	117:3	415:0	427:0
5	5:14	27:10	118:3	416:0	428:0
5	6:14	28:10	119:3	417:0	429:0
5	7:14	29:10	108:4	418:0	430:0
5	8:14	30:10	109:4	419:0	431:0
5	8:15	16:13	59:8	420:0	432:0
5	9:15	17:13	48:9	421:0	433:0
5	10:15	18:13	49:9	422:0	434:0
5	11:15	19:13	50:9	423:0	435:0
5	0:16	20:13	51:9	424:0	436:0
5	1:16	21:13	52:9	425:0	437:0
5	2:16	22:13	53:9	426:0	438:0
5	3:16	23:13	54:9	427:0	439:0
5	4:16	12:14	55:9	428:0	440:0
5	5:16	13:14	56:9	429:0	441:0
5	6:16	14:14	57:9	430:0	442:0
5	7:16	15:14	58:9	431:0	443:0
5	13:28	28:5	70:1	432:0	444:0
5	14:28	29:5	71:1	433:0	445:0
5	15:28	30:5	60:2	434:0	446:0
5	16:28	31:5	61:2	435:0	447:0
5	17:28	32:5	62:2	436:0	448:0
5	18:28	33:5	63:2	437:0	449:0
5	19:28	34:5	64:2	438:0	450:0
5	20:28	35:5	65:2	439:0	451:0
5	21:28	24:6	66:2	440:0	452:0
5	22:28	25:6	67:2	441:0	453:0
5	23:28	26:6	68:2	442:0	454:0
5	12:29	27:6	69:2	443:0	455:0
5	16:1	28:13	69:12	444:0	456:0
5	17:1	29:13	70:12	445:0	457:0
5	18:1	30:13	71:12	446:0	458:0
5	19:1	31:13	60:13	447:0	459:0
5	20:1	32:13	61:13	448:0	460:0
5	21:1	33:13	62:13	449:0	461:0
5	22:1	34:13	63:13	450:0	462:0
5	23:1	35:13	64:13	451:0	463:0
5	12:2	24:14	65:13	452:0	464:0
5	13:2	25:14	66:13	453:0	465:0
5	14:2	26:14	67:13	454:0	466:0
5	15:2	27:14	68:13	455:0	467:0
5	2:10	22:12	49:26	456:0	468:0
5	3:10	23:12	50:26	457:0	469:0
5	4:10	12:13	51:26	458:0	470:0
5	5:10	13:13	52:26	459:0	471:0
5	6:10	14:13	53:26	460:0	472:0
5	7:10	15:13	54:26	461:0	473:0
5	8:10	16:13	55:26	462:0	474:0
5	9:10	17:13	56:26	463:0	475:0
5	10:10	18:13	57:26	464:0	476:0
5	11:10	19:13	58:26	465:0	477:0
5	0:11	20:13	59:26	466:0	478:0
5	1:11	21:13	48:27	467:0	479:0
5	1:1	34:2	99:14	468:0	480:0
