11	11:23	79:23	84:9	179:8	201:25	341:23	549:27	824:0	1183:8	2057:0	2069:0
11	21:22	50:19	122:7	141:2	203:8	285:7	439:11	948:17	1199:24	1558:0	1570:0
11	43:2	95:22	129:10	175:4	202:0	440:23	460:17	1003:4	1285:2	1974:0	1986:0
11	35:15	70:26	110:1	149:1	191:1	339:7	500:5	890:23	1234:0	1858:0	1870:0
11	11:22	71:9	125:7	166:5	197:10	388:0	711:0	965:9	1010:0	1873:0	1885:0
11	5:23	65:10	131:7	160:6	203:10	394:0	717:0	971:9	1016:0	1879:0	1891:0
11	14:3	47:28	98:3	159:1	226:0	271:23	451:24	759:23	1065:13	1702:0	1714:0
11	4:18	64:3	129:19	155:3	222:25	326:10	597:7	907:26	1118:24	1756:0	1768:0
11	21:23	77:8	103:4	163:12	227:0	406:15	672:1	913:1	1127:29	1823:0	1835:0
11	3:12	51:16	142:4	177:22	190:0	377:0	509:0	874:2	1142:3	1313:0	1325:0
11	23:0	60:21	116:1	144:1	193:24	314:20	569:20	829:2	1095:1	2038:0	2050:0
11	46:19	82:24	118:0	161:20	205:5	425:14	629:1	903:2	1100:0	1722:0	1734:0
11	6:8	74:21	112:1	149:26	195:24	304:25	687:27	978:11	1197:13	1367:0	1379:0
11	3:8	47:14	96:1	154:1	204:1	350:2	486:9	840:20	1186:0	1666:0	1678:0
11	2:23	62:10	128:7	157:6	200:10	391:0	714:0	968:9	1013:0	1876:0	1888:0
11	39:3	71:26	114:9	176:15	196:23	428:5	494:2	778:5	1210:23	1738:0	1750:0
11	1:4	82:25	103:0	187:7	213:7	414:8	624:20	925:24	1059:26	1398:0	1410:0
11	45:28	78:0	88:2	160:19	226:3	250:7	569:1	813:21	1102:2	1349:0	1361:0
11	43:8	49:13	139:2	151:10	195:16	390:0	602:29	907:22	1289:4	1456:0	1468:0
11	33:2	63:2	92:8	150:17	183:0	278:17	644:2	853:1	1033:0	1441:0	1453:0
11	6:10	42:6	128:9	162:4	216:22	237:28	654:7	896:0	1240:20	1423:0	1435:0
11	12:5	38:20	122:11	167:3	211:21	259:15	692:10	971:27	1111:0	2045:0	2057:0
11	4:4	73:26	106:0	190:7	204:8	417:8	627:20	928:24	1062:26	1401:0	1413:0
11	36:9	54:13	132:3	144:11	200:16	395:0	607:29	900:23	1294:4	1461:0	1473:0
11	8:14	83:17	142:17	146:0	222:0	379:28	533:1	824:10	1268:18	1430:0	1442:0
11	39:2	91:22	125:10	171:4	198:0	436:23	456:17	999:4	1293:1	1970:0	1982:0
11	43:11	76:3	137:2	170:23	209:10	320:20	701:7	988:0	1281:2	1810:0	1822:0
11	19:22	48:19	120:7	139:2	201:8	283:7	437:11	958:16	1197:24	1556:0	1568:0
11	8:23	68:10	122:8	163:6	194:11	385:1	708:1	962:10	1019:0	1882:0	1894:0
11	20:0	69:20	113:1	153:0	202:23	323:19	566:20	838:1	1092:1	2035:0	2047:0
11	2:12	50:16	141:4	176:22	189:0	376:0	508:0	873:2	1141:3	1312:0	1324:0
11	28:7	60:28	112:23	169:3	209:0	409:19	513:16	806:2	1131:22	1934:0	1946:0
11	18:6	85:2	121:3	147:6	191:5	363:15	697:7	721:0	1213:13	1488:0	1500:0
11	30:29	66:3	87:2	178:28	212:0	385:17	642:0	834:2	1247:1	1386:0	1398:0
11	41:19	55:10	124:21	157:0	180:8	321:10	658:18	954:17	1036:6	1668:0	1680:0
11	27:23	79:0	128:4	158:10	203:12	396:14	541:28	828:5	1057:3	1470:0	1482:0
11	10:7	78:20	116:0	153:25	199:23	308:24	691:26	982:10	1189:13	1359:0	1371:0
11	31:18	77:6	100:17	133:0	213:1	249:28	557:10	789:0	1288:8	1890:0	1902:0
11	2:7	74:18	108:1	170:28	224:2	380:16	511:12	868:1	1048:9	1415:0	1427:0
11	19:9	73:22	112:0	139:3	215:23	306:6	470:27	928:0	1114:14	2091:0	2103:0
11	36:25	83:1	127:1	140:8	212:29	277:6	523:23	807:28	1109:26	1615:0	1627:0
11	30:15	65:26	117:0	144:1	186:1	346:6	495:5	897:22	1229:0	1853:0	1865:0
11	17:15	89:6	99:0	176:0	190:10	228:23	657:3	733:8	1014:4	1574:0	1586:0
11	7:14	82:17	141:17	145:0	221:0	378:28	532:1	823:10	1267:18	1429:0	1441:0
11	5:0	92:28	111:17	146:2	222:12	299:14	665:8	793:3	1205:14	1782:0	1794:0
11	30:0	78:13	115:0	136:2	226:17	275:8	620:12	991:26	1173:27	1303:0	1315:0
11	40:5	59:2	121:10	157:6	183:19	332:3	466:7	973:7	1078:0	2132:0	2144:0
11	25:0	60:8	93:0	177:0	180:1	380:5	700:8	737:7	1172:4	1641:0	1653:0
11	23:0	58:0	110:7	165:11	227:7	363:15	588:9	820:1	1074:0	1650:0	1662:0
11	2:10	38:6	124:9	158:4	224:21	233:28	650:7	892:0	1236:20	1419:0	1431:0
11	27:26	62:1	129:5	142:0	206:22	420:1	613:23	946:0	1234:4	1870:0	1882:0
11	29:0	77:13	114:0	135:2	225:17	274:8	619:12	990:26	1172:27	1302:0	1314:0
11	22:4	36:20	120:11	165:3	209:21	257:15	690:10	969:27	1109:0	2043:0	2055:0
11	9:14	72:18	143:17	147:0	223:0	380:28	534:1	825:10	1269:18	1431:0	1443:0
11	10:11	58:15	137:4	172:22	185:0	372:0	504:0	869:2	1149:2	1308:0	1320:0
11	28:11	61:4	126:13	175:0	182:3	443:19	672:13	747:19	1221:0	1745:0	1757:0
11	45:19	59:10	128:21	161:0	184:8	313:11	650:19	958:17	1040:6	1672:0	1684:0
11	32:29	68:3	89:2	168:29	214:0	387:17	644:0	836:2	1237:2	1388:0	1400:0
11	20:15	92:6	102:0	179:0	181:11	231:23	648:4	736:8	1017:4	1577:0	1589:0
11	10:28	49:24	100:15	151:8	196:7	221:21	582:6	744:0	1081:5	1831:0	1843:0
11	3:14	78:0	126:6	166:1	210:0	410:14	444:19	856:2	1134:0	1302:0	2153:0
11	38:2	90:22	124:10	170:4	197:0	435:23	467:16	998:4	1292:1	1969:0	1981:0
11	22:15	94:6	104:0	169:1	183:11	233:23	650:4	738:8	1019:4	1579:0	1591:0
11	23:0	70:0	103:26	178:14	214:19	226:23	667:25	896:5	1210:2	1630:0	1642:0
11	3:26	49:1	118:19	165:3	188:1	333:0	576:3	866:0	1034:0	1333:0	1345:0
11	29:14	57:19	130:8	151:20	192:2	431:29	597:7	968:0	1174:14	2101:0	2113:0
11	17:9	80:28	87:5	163:26	187:0	267:11	552:18	988:27	1146:1	1927:0	1939:0
11	14:22	55:18	127:6	134:2	196:8	278:7	432:11	953:16	1192:24	1551:0	1563:0
11	21:0	70:20	114:1	154:0	203:23	312:20	567:20	839:1	1093:1	2036:0	2048:0
11	28:1	74:3	108:1	164:8	227:0	322:15	545:17	841:10	1052:16	1775:0	1787:0
11	7:14	82:0	130:6	158:2	214:0	414:14	448:19	860:2	1138:0	1306:0	2157:0
11	35:17	85:7	122:20	146:14	193:15	306:16	691:3	979:10	1088:25	2140:0	2152:0
11	27:0	75:13	112:0	133:2	223:17	272:8	617:12	988:26	1170:27	1300:0	1312:0
11	43:11	92:22	107:8	156:6	204:22	258:21	615:0	799:14	1125:7	1526:0	1538:0
11	8:14	83:0	131:6	159:2	215:0	415:14	449:19	861:2	1139:0	1307:0	2158:0
11	22:0	71:20	115:1	155:0	192:24	313:20	568:20	828:2	1094:1	2037:0	2049:0
11	26:4	63:12	116:20	145:17	202:4	240:13	442:7	885:0	1008:17	1914:0	1926:0
11	44:10	50:29	103:0	156:1	189:5	384:6	470:22	929:16	1219:0	2083:0	2095:0
11	20:0	55:0	119:6	162:11	224:7	360:15	597:8	817:1	1071:0	1647:0	1659:0
11	1:10	37:6	123:9	157:4	223:21	232:28	649:7	891:0	1247:19	1418:0	1430:0
11	36:11	81:2	142:1	175:22	214:9	313:20	706:6	993:29	1274:2	1803:0	1815:0
11	31:12	52:18	114:11	179:0	227:3	399:21	486:14	950:1	1283:2	2123:0	2135:0
11	44:2	64:26	119:8	169:15	201:22	421:5	499:1	771:5	1203:23	1731:0	1743:0
11	33:18	79:6	102:17	135:0	215:1	251:28	559:10	791:0	1290:8	1892:0	1904:0
