8	3:63	23:108	89:27	154:11	231:31	251:6	337:0	340:0
8	4:63	21:109	87:28	155:11	232:31	249:7	338:0	341:0
8	10:64	26:94	31:78	104:84	198:72	229:77	339:0	342:0
8	11:64	24:95	32:78	102:85	199:72	230:77	340:0	343:0
8	9:65	25:95	30:79	103:85	200:72	228:78	341:0	344:0
8	4:89	22:78	132:2	196:102	238:82	247:117	342:0	345:0
8	5:89	23:78	133:2	197:102	239:82	248:117	343:0	346:0
8	3:90	21:79	134:2	195:103	237:83	246:118	344:0	347:0
8	4:106	15:95	81:87	161:118	226:56	252:104	345:0	348:0
8	5:106	16:95	82:87	159:119	227:56	253:104	346:0	349:0
8	3:107	17:95	83:87	160:119	225:57	254:104	347:0	350:0
8	7:77	51:58	220:118	233:110	236:68	255:87	348:0	351:0
8	8:77	52:58	221:118	231:111	234:69	256:87	349:0	352:0
8	6:78	53:58	219:119	232:111	235:69	257:87	350:0	353:0
8	12:83	24:90	114:45	169:79	229:28	260:114	351:0	354:0
8	13:83	25:90	115:45	170:79	230:28	258:115	352:0	355:0
8	14:83	26:90	116:45	168:80	228:29	259:115	353:0	356:0
8	0:54	22:99	54:49	143:53	233:86	264:51	354:0	357:0
8	1:54	23:99	55:49	141:54	231:87	265:51	355:0	358:0
8	2:54	21:100	56:49	142:54	232:87	266:51	356:0	359:0
8	3:8	20:89	84:85	201:84	228:103	244:88	357:0	360:0
8	4:8	18:90	85:85	202:84	229:103	245:88	358:0	361:0
8	5:8	19:90	86:85	203:84	230:103	243:89	359:0	362:0
8	10:100	29:63	93:41	155:97	225:68	260:89	360:0	363:0
8	11:100	27:64	94:41	153:98	226:68	258:90	361:0	364:0
8	9:101	28:64	95:41	154:98	227:68	259:90	362:0	365:0
8	13:89	28:26	49:112	79:1	190:26	233:67	363:0	366:0
8	14:89	29:26	50:112	80:1	191:26	231:68	364:0	367:0
8	12:90	27:27	48:113	78:2	189:27	232:68	365:0	368:0
8	10:2	22:72	24:24	75:68	148:82	265:55	366:0	369:0
8	11:2	23:72	25:24	76:68	149:82	266:55	367:0	370:0
8	9:3	21:73	26:24	77:68	147:83	264:56	368:0	371:0
8	2:58	17:106	66:53	211:101	225:45	248:73	369:0	372:0
8	0:59	15:107	67:53	212:101	226:45	246:74	370:0	373:0
8	1:59	16:107	68:53	210:102	227:45	247:74	371:0	374:0
8	9:18	20:57	72:102	146:28	239:44	256:104	372:0	375:0
