11	5:87	13:73	31:25	35:7	49:32	71:27	108:43	239:64	298:96	387:0	390:0
11	3:88	14:73	32:25	33:8	50:32	69:28	109:43	237:65	299:96	388:0	391:0
11	4:88	12:74	30:26	34:8	48:33	70:28	110:43	238:65	297:97	389:0	392:0
11	2:45	9:9	25:44	42:7	56:11	58:2	116:89	197:49	312:20	390:0	393:0
11	0:46	10:9	26:44	43:7	54:12	59:2	114:90	195:50	313:20	391:0	394:0
11	1:46	11:9	24:45	44:7	55:12	57:3	115:90	196:50	314:20	392:0	395:0
11	3:61	21:25	25:0	42:2	47:42	58:91	163:14	185:31	253:17	393:0	396:0
11	4:61	22:25	26:0	43:2	45:43	59:91	164:14	183:32	254:17	394:0	397:0
11	5:61	23:25	24:1	44:2	46:43	57:92	162:15	184:32	252:18	395:0	398:0
11	2:53	16:1	26:50	44:54	51:0	91:0	156:40	181:74	256:15	396:0	399:0
11	0:54	17:1	24:51	42:55	52:0	92:0	157:40	182:74	257:15	397:0	400:0
11	1:54	15:2	25:51	43:55	53:0	90:1	158:40	180:75	255:16	398:0	401:0
11	7:62	18:24	23:3	35:0	55:17	58:14	111:61	250:7	320:80	399:0	402:0
11	8:62	19:24	21:4	33:1	56:17	59:14	112:61	251:7	318:81	400:0	403:0
11	6:63	20:24	22:4	34:1	54:18	57:15	113:61	249:8	319:81	401:0	404:0
11	11:97	19:5	30:4	34:32	52:116	69:22	129:92	203:110	277:103	402:0	405:0
11	9:98	20:5	31:4	35:32	53:116	70:22	130:92	201:111	278:103	403:0	406:0
11	10:98	18:6	32:4	33:33	51:117	71:22	131:92	202:111	276:104	404:0	407:0
11	4:0	15:0	24:103	42:56	51:76	54:92	165:99	223:19	300:8	405:0	408:0
11	5:0	16:0	25:103	43:56	52:76	55:92	166:99	224:19	301:8	406:0	409:0
11	3:1	17:0	26:103	44:56	53:76	56:92	167:99	222:20	302:8	407:0	410:0
11	7:117	15:29	21:0	42:0	45:1	95:19	175:30	185:26	293:15	408:0	411:0
11	8:117	16:29	22:0	43:0	46:1	93:20	176:30	183:27	291:16	409:0	412:0
11	6:118	17:29	23:0	44:0	47:1	94:20	174:31	184:27	292:16	410:0	413:0
11	5:1	13:1	29:26	39:45	56:29	90:59	147:34	205:3	267:0	411:0	414:0
11	3:2	14:1	27:27	40:45	54:30	91:59	148:34	206:3	268:0	412:0	415:0
11	4:2	12:2	28:27	41:45	55:30	92:59	149:34	204:4	269:0	413:0	416:0
11	2:29	10:56	26:0	36:4	53:0	88:5	122:34	212:76	294:0	414:0	417:0
11	0:30	11:56	24:1	37:4	51:1	89:5	120:35	210:77	295:0	415:0	418:0
11	1:30	9:57	25:1	38:4	52:1	87:6	121:35	211:77	296:0	416:0	419:0
11	11:77	13:42	31:85	40:0	45:32	78:43	163:75	237:70	259:25	417:0	420:0
11	9:78	14:42	32:85	41:0	46:32	79:43	164:75	238:70	260:25	418:0	421:0
11	10:78	12:43	30:86	39:1	47:32	80:43	162:76	239:70	258:26	419:0	422:0
11	5:48	13:109	26:38	36:61	54:5	72:10	177:62	219:111	257:50	420:0	423:0
11	3:49	14:109	24:39	37:61	55:5	73:10	178:62	220:111	255:51	421:0	424:0
11	4:49	12:110	25:39	38:61	56:5	74:10	179:62	221:111	256:51	422:0	425:0
11	4:9	10:112	25:9	41:1	54:0	66:91	111:95	191:89	266:51	423:0	426:0
11	5:9	11:112	26:9	39:2	55:0	67:91	112:95	189:90	264:52	424:0	427:0
11	3:10	9:113	24:10	40:2	56:0	68:91	113:95	190:90	265:52	425:0	428:0
11	4:86	14:90	22:5	36:58	49:0	77:109	160:0	183:19	257:81	426:0	429:0
11	5:86	12:91	23:5	37:58	50:0	75:110	161:0	184:19	255:82	427:0	430:0
11	3:87	13:91	21:6	38:58	48:1	76:110	159:1	185:19	256:82	428:0	431:0
11	10:77	19:97	28:1	41:79	52:18	107:55	158:3	225:7	275:0	429:0	432:0
11	11:77	20:97	29:1	39:80	53:18	105:56	156:4	226:7	273:1	430:0	433:0
11	9:78	18:98	27:2	40:80	51:19	106:56	157:4	227:7	274:1	431:0	434:0
11	11:9	16:104	29:34	43:59	48:90	106:19	124:5	192:20	300:92	432:0	435:0
11	9:10	17:104	27:35	44:59	49:90	107:19	125:5	193:20	301:92	433:0	436:0
11	10:10	15:105	28:35	42:60	50:90	105:20	123:6	194:20	302:92	434:0	437:0
11	8:43	17:14	31:52	44:0	45:11	108:78	169:50	187:75	304:1	435:0	438:0
11	6:44	15:15	32:52	42:1	46:11	109:78	170:50	188:75	305:1	436:0	439:0
11	7:44	16:15	30:53	43:1	47:11	110:78	168:51	186:76	303:2	437:0	440:0
11	0:72	15:12	32:77	37:14	56:100	82:39	149:29	225:105	280:95	438:0	441:0
11	1:72	16:12	30:78	38:14	54:101	83:39	147:30	226:105	281:95	439:0	442:0
11	2:72	17:12	31:78	36:15	55:101	81:40	148:30	227:105	279:96	440:0	443:0
11	8:1	18:9	28:0	39:31	54:0	80:59	135:66	212:36	261:63	441:0	444:0
11	6:2	19:9	29:0	40:31	55:0	78:60	136:66	210:37	262:63	442:0	445:0
11	7:2	20:9	27:1	41:31	56:0	79:60	137:66	211:37	263:63	443:0	446:0
11	2:119	23:112	27:67	38:6	54:48	74:57	167:31	199:10	302:55	444:0	447:0
11	0:0	21:113	28:67	36:7	55:48	72:58	165:32	200:10	300:56	445:0	448:0
11	1:0	22:113	29:67	37:7	56:48	73:58	166:32	198:11	301:56	446:0	449:0
11	1:48	15:0	35:102	37:46	47:83	62:16	142:1	200:0	289:82	447:0	450:0
11	2:48	16:0	33:103	38:46	45:84	60:17	143:1	198:1	290:82	448:0	451:0
11	0:49	17:0	34:103	36:47	46:84	61:17	141:2	199:1	288:83	449:0	452:0
11	9:43	18:10	34:6	43:89	52:38	79:79	175:26	246:118	320:7	450:0	453:0
11	10:43	19:10	35:6	44:89	53:38	80:79	176:26	247:118	318:8	451:0	454:0
11	11:43	20:10	33:7	42:90	51:39	78:80	174:27	248:118	319:8	452:0	455:0
11	4:91	18:30	26:14	41:46	54:0	101:59	169:0	230:0	279:116	453:0	456:0
11	5:91	19:30	24:15	39:47	55:0	99:60	170:0	228:1	280:116	454:0	457:0
11	3:92	20:30	25:15	40:47	56:0	100:60	168:1	229:1	281:116	455:0	458:0
11	0:113	12:94	24:59	36:32	48:27	55:83	146:23	188:117	270:18	456:0	459:0
11	1:113	13:94	25:59	37:32	49:27	56:83	144:24	186:118	271:18	457:0	460:0
11	2:113	14:94	26:59	38:32	50:27	54:84	145:24	187:118	272:18	458:0	461:0
11	5:20	12:12	25:1	40:5	48:99	86:43	118:23	193:24	312:89	459:0	462:0
11	3:21	13:12	26:1	41:5	49:99	84:44	119:23	194:24	313:89	460:0	463:0
11	4:21	14:12	24:2	39:6	50:99	85:44	117:24	192:25	314:89	461:0	464:0
11	7:60	15:104	28:1	37:2	46:4	86:25	124:19	223:89	306:0	462:0	465:0
11	8:60	16:104	29:1	38:2	47:4	84:26	125:19	224:89	307:0	463:0	466:0
11	6:61	17:104	27:2	36:3	45:5	85:26	123:20	222:90	308:0	464:0	467:0
11	8:101	16:1	32:19	33:0	52:85	107:0	153:89	234:0	306:16	465:0	468:0
11	6:102	17:1	30:20	34:0	53:85	105:1	154:89	235:0	307:16	466:0	469:0
11	7:102	15:2	31:20	35:0	51:86	106:1	155:89	236:0	308:16	467:0	470:0
11	1:91	16:39	31:29	39:23	49:41	96:1	179:0	241:37	253:0	468:0	471:0
11	2:91	17:39	32:29	40:23	50:41	97:1	177:1	242:37	254:0	469:0	472:0
11	0:92	15:40	30:30	41:23	48:42	98:1	178:1	240:38	252:1	470:0	473:0
11	7:72	20:23	25:67	34:118	51:5	60:113	140:39	195:1	322:31	471:0	474:0
11	8:72	18:24	26:67	35:118	52:5	61:113	138:40	196:1	323:31	472:0	475:0
11	6:73	19:24	24:68	33:119	53:5	62:113	139:40	197:1	321:32	473:0	476:0
11	2:55	12:25	23:2	36:0	54:4	66:47	169:94	230:8	269:6	474:0	477:0
11	0:56	13:25	21:3	37:0	55:4	67:47	170:94	228:9	267:7	475:0	478:0
11	1:56	14:25	22:3	38:0	56:4	68:47	168:95	229:9	268:7	476:0	479:0
11	8:14	15:47	29:80	37:66	49:17	60:50	109:29	219:1	252:66	477:0	480:0
11	6:15	16:47	27:81	38:66	50:17	61:50	110:29	220:1	253:66	478:0	481:0
11	7:15	17:47	28:81	36:67	48:18	62:50	108:30	221:1	254:66	479:0	482:0
11	4:35	19:112	23:18	39:104	45:0	68:42	140:69	246:107	287:3	480:0	483:0
11	5:35	20:112	21:19	40:104	46:0	66:43	138:70	247:107	285:4	481:0	484:0
11	3:36	18:113	22:19	41:104	47:0	67:43	139:70	248:107	286:4	482:0	485:0
11	8:28	16:111	29:92	44:11	51:1	104:75	127:66	201:8	283:88	483:0	486:0
11	6:29	17:111	27:93	42:12	52:1	102:76	128:66	202:8	284:88	484:0	487:0
11	7:29	15:112	28:93	43:12	53:1	103:76	126:67	203:8	282:89	485:0	488:0
11	3:119	22:42	24:0	47:73	49:25	69:50	150:2	181:87	262:1	486:0	489:0
11	4:119	23:42	25:0	45:74	50:25	70:50	151:2	182:87	263:1	487:0	490:0
11	5:119	21:43	26:0	46:74	48:26	71:50	152:2	180:88	261:2	488:0	491:0
11	10:100	14:67	27:30	35:23	46:19	91:88	165:0	193:105	307:2	489:0	492:0
11	11:100	12:68	28:30	33:24	47:19	92:88	166:0	194:105	308:2	490:0	493:0
11	9:101	13:68	29:30	34:24	45:20	90:89	167:0	192:106	306:3	491:0	494:0
11	10:8	23:89	30:41	43:16	49:1	110:92	115:67	250:16	322:6	492:0	495:0
11	11:8	21:90	31:41	44:16	50:1	108:93	116:67	251:16	323:6	493:0	496:0
11	9:9	22:90	32:41	42:17	48:2	109:93	114:68	249:17	321:7	494:0	497:0
11	7:25	17:9	32:84	33:0	46:0	87:79	111:0	190:0	316:8	495:0	498:0
11	8:25	15:10	30:85	34:0	47:0	88:79	112:0	191:0	317:8	496:0	499:0
11	6:26	16:10	31:85	35:0	45:1	89:79	113:0	189:1	315:9	497:0	500:0
11	10:16	17:29	32:2	36:90	45:2	72:0	129:10	210:30	272:8	498:0	501:0
11	11:16	15:30	30:3	37:90	46:2	73:0	130:10	211:30	270:9	499:0	502:0
11	9:17	16:30	31:3	38:90	47:2	74:0	131:10	212:30	271:9	500:0	503:0
11	4:86	13:4	27:13	39:67	49:6	87:118	132:18	228:4	294:15	504:0	507:0
11	5:86	14:4	28:13	40:67	50:6	88:118	133:18	229:4	295:15	505:0	508:0
11	3:87	12:5	29:13	41:67	48:7	89:118	134:18	230:4	296:15	506:0	509:0
11	4:0	17:80	28:3	38:0	48:93	79:77	142:78	207:5	275:1	507:0	510:0
11	5:0	15:81	29:3	36:1	49:93	80:77	143:78	208:5	273:2	508:0	511:0
11	3:1	16:81	27:4	37:1	50:93	78:78	141:79	209:5	274:2	509:0	512:0
11	4:18	9:79	30:43	39:14	53:84	65:60	171:41	240:110	278:0	510:0	513:0
11	5:18	10:79	31:43	40:14	51:85	63:61	172:41	241:110	276:1	511:0	514:0
11	3:19	11:79	32:43	41:14	52:85	64:61	173:41	242:110	277:1	512:0	515:0
11	0:94	20:92	22:34	42:34	49:101	84:92	136:109	204:1	296:32	513:0	516:0
11	1:94	18:93	23:34	43:34	50:101	85:92	137:109	205:1	294:33	514:0	517:0
11	2:94	19:93	21:35	44:34	48:102	86:92	135:110	206:1	295:33	515:0	518:0
11	3:114	13:0	35:13	42:99	56:79	99:49	146:34	196:117	312:15	516:0	519:0
11	4:114	14:0	33:14	43:99	54:80	100:49	144:35	197:117	313:15	517:0	520:0
11	5:114	12:1	34:14	44:99	55:80	101:49	145:35	195:118	314:15	518:0	521:0
11	10:40	13:114	24:0	41:1	47:20	98:21	118:86	232:63	303:0	519:0	522:0
11	11:40	14:114	25:0	39:2	45:21	96:22	119:86	233:63	304:0	520:0	523:0
11	9:41	12:115	26:0	40:2	46:21	97:22	117:87	231:64	305:0	521:0	524:0
11	4:37	19:87	28:0	34:13	53:94	75:25	119:107	232:0	277:58	522:0	525:0
11	5:37	20:87	29:0	35:13	51:95	76:25	117:108	233:0	278:58	523:0	526:0
11	3:38	18:88	27:1	33:14	52:95	77:25	118:108	231:1	276:59	524:0	527:0
11	7:57	14:78	30:35	36:82	50:7	106:119	149:30	241:2	291:59	525:0	528:0
11	8:57	12:79	31:35	37:82	48:8	107:119	147:31	242:2	292:59	526:0	529:0
11	6:58	13:79	32:35	38:82	49:8	105:0	148:31	240:3	293:59	527:0	530:0
11	8:46	14:69	28:42	42:0	54:12	100:81	121:54	237:1	318:8	528:0	531:0
11	6:47	12:70	29:42	43:0	55:12	101:81	122:54	238:1	319:8	529:0	532:0
11	7:47	13:70	27:43	44:0	56:12	99:82	120:55	239:1	320:8	530:0	533:0
11	11:18	12:9	32:37	41:21	46:74	81:12	116:28	245:25	269:0	531:0	534:0
11	9:19	13:9	30:38	39:22	47:74	82:12	114:29	243:26	267:1	532:0	535:0
11	10:19	14:9	31:38	40:22	45:75	83:12	115:29	244:26	268:1	533:0	536:0
11	7:70	21:27	31:79	37:55	48:59	77:64	171:13	243:41	271:101	534:0	537:0
11	8:70	22:27	32:79	38:55	49:59	75:65	172:13	244:41	272:101	535:0	538:0
11	6:71	23:27	30:80	36:56	50:59	76:65	173:13	245:41	270:102	536:0	539:0
