5	48:14	71:118	148:82	275:0	278:0
5	5:84	22:103	51:8	282:0	285:0
5	3:85	23:103	52:8	283:0	286:0
5	4:85	21:104	53:8	284:0	287:0
5	18:78	34:78	45:37	285:0	288:0
5	19:78	35:78	46:37	286:0	289:0
5	20:78	33:79	47:37	287:0	290:0
5	1:76	95:68	142:96	288:0	291:0
5	2:76	93:69	143:96	289:0	292:0
5	0:77	94:69	141:97	290:0	293:0
5	29:98	38:25	151:51	291:0	294:0
5	27:99	36:26	152:51	292:0	295:0
5	28:99	37:26	150:52	293:0	296:0
5	12:18	31:110	67:85	294:0	297:0
5	13:18	32:110	68:85	295:0	298:0
5	14:18	30:111	66:86	296:0	299:0
5	24:67	39:17	66:97	297:0	300:0
5	25:67	40:17	67:97	298:0	301:0
5	26:67	41:17	68:97	299:0	302:0
5	5:51	65:74	74:105	303:0	306:0
5	3:52	63:75	72:106	304:0	307:0
5	4:52	64:75	73:106	305:0	308:0
5	9:19	38:13	40:82	306:0	309:0
5	10:19	36:14	41:82	307:0	310:0
5	11:19	37:14	39:83	308:0	311:0
5	51:102	58:107	60:32	309:0	312:0
5	52:102	59:107	61:32	310:0	313:0
5	53:102	57:108	62:32	311:0	314:0
5	36:98	109:13	151:76	312:0	315:0
5	37:98	110:13	152:76	313:0	316:0
5	38:98	108:14	150:77	314:0	317:0
5	13:9	24:37	32:83	315:0	318:0
5	14:9	25:37	30:84	316:0	319:0
5	12:10	26:37	31:84	317:0	320:0
5	9:3	24:34	30:90	318:0	321:0
5	10:3	25:34	31:90	319:0	322:0
5	11:3	26:34	32:90	320:0	323:0
5	8:67	28:101	46:86	321:0	324:0
5	6:68	29:101	47:86	322:0	325:0
5	7:68	27:102	45:87	323:0	326:0
5	91:40	135:27	153:27	324:0	327:0
5	92:40	136:27	154:27	325:0	328:0
5	90:41	137:27	155:27	326:0	329:0
5	31:105	49:68	66:1	327:0	330:0
5	32:105	50:68	67:1	328:0	331:0
5	30:106	48:69	68:1	329:0	332:0
5	31:70	140:85	143:73	333:0	336:0
5	32:70	138:86	141:74	334:0	337:0
5	30:71	139:86	142:74	335:0	338:0
5	15:58	54:15	116:100	336:0	339:0
5	16:58	55:15	114:101	337:0	340:0
5	17:58	56:15	115:101	338:0	341:0
5	3:96	66:54	91:25	339:0	342:0
5	4:96	67:54	92:25	340:0	343:0
5	5:96	68:54	90:26	341:0	344:0
5	52:37	74:58	118:22	342:0	345:0
5	53:37	72:59	119:22	343:0	346:0
5	51:38	73:59	117:23	344:0	347:0
5	24:28	70:45	78:103	345:0	348:0
5	25:28	71:45	79:103	346:0	349:0
5	26:28	69:46	80:103	347:0	350:0
5	3:81	21:70	68:44	348:0	351:0
5	4:81	22:70	66:45	349:0	352:0
5	5:81	23:70	67:45	350:0	353:0
5	9:16	28:102	58:97	351:0	354:0
5	10:16	29:102	59:97	352:0	355:0
5	11:16	27:103	57:98	353:0	356:0
5	103:24	122:7	127:4	354:0	357:0
5	104:24	120:8	128:4	355:0	358:0
5	102:25	121:8	126:5	356:0	359:0
5	63:76	84:33	89:112	357:0	360:0
5	64:76	85:33	87:113	358:0	361:0
5	65:76	86:33	88:113	359:0	362:0
5	7:65	45:54	103:48	360:0	363:0
5	8:65	46:54	104:48	361:0	364:0
5	6:66	47:54	102:49	362:0	365:0
5	36:96	64:80	130:13	363:0	366:0
5	37:96	65:80	131:13	364:0	367:0
