10	8:76	28:80	30:77	52:10	92:0	145:58	255:34	286:117	434:0	437:0
10	2:88	15:103	27:35	40:84	57:104	153:100	259:4	300:29	365:0	368:0
10	5:56	18:57	22:111	49:24	167:84	201:54	234:108	254:79	472:0	475:0
10	3:57	19:57	23:111	50:24	165:85	202:54	235:108	252:80	473:0	476:0
10	14:88	21:113	43:87	46:51	75:45	171:89	212:32	238:29	375:0	378:0
10	8:21	20:89	36:33	57:73	93:87	127:27	213:92	253:64	484:0	487:0
10	4:66	15:22	38:50	45:83	120:23	167:117	249:71	275:28	511:0	514:0
10	3:29	6:79	40:85	42:113	58:26	182:29	255:110	307:111	312:0	315:0
10	10:40	17:83	41:1	51:48	61:68	149:15	243:10	298:6	400:0	403:0
10	12:89	22:113	44:87	47:51	76:45	172:89	210:33	239:29	376:0	379:0
10	5:19	25:88	35:74	36:25	77:67	159:1	229:29	294:113	490:0	493:0
10	7:69	11:64	27:84	43:14	133:56	226:27	251:66	295:87	449:0	452:0
10	0:4	10:101	26:36	40:75	55:3	121:52	265:66	286:6	372:0	375:0
10	3:3	12:16	31:118	45:10	58:90	184:112	223:3	267:105	435:0	438:0
10	8:25	16:13	21:14	49:94	112:39	229:91	266:80	310:102	358:0	361:0
10	7:21	19:89	38:32	59:72	95:86	126:27	215:91	252:64	483:0	486:0
10	11:7	18:17	33:27	47:51	78:13	182:64	197:93	237:50	496:0	499:0
10	17:98	29:47	34:75	54:42	71:95	147:38	235:94	306:103	378:0	381:0
10	4:28	23:85	25:86	37:26	84:30	145:8	238:118	283:5	323:0	326:0
10	8:79	12:34	31:19	38:74	131:89	196:33	227:12	265:10	407:0	410:0
10	6:103	13:68	28:52	48:88	56:92	100:110	189:106	272:4	501:0	504:0
10	14:0	26:92	32:52	49:100	93:63	108:1	250:24	277:29	381:0	384:0
10	2:92	18:112	29:81	42:21	57:110	114:54	200:71	266:11	340:0	343:0
10	4:70	12:61	25:13	45:93	50:54	92:15	169:118	300:111	403:0	406:0
10	0:88	16:102	28:34	41:83	58:103	154:99	260:3	301:28	363:0	366:0
10	11:21	17:42	32:45	40:21	87:51	116:77	237:3	270:5	470:0	473:0
10	10:91	13:95	29:74	49:32	161:103	222:99	236:102	263:21	458:0	461:0
10	12:1	24:93	30:53	50:100	94:63	109:1	251:24	278:29	382:0	385:0
10	6:91	22:15	28:107	43:59	137:12	220:16	244:31	269:37	419:0	422:0
10	7:25	15:23	38:115	48:7	119:77	163:64	211:69	233:58	337:0	340:0
