15	10:0	19:28	34:90	44:2	59:99	66:115	97:115	145:84	197:64	227:92	242:3	312:12	343:96	536:0	539:0
15	5:66	18:71	24:3	35:98	48:96	91:105	200:70	226:80	239:17	264:11	286:112	289:48	341:101	518:0	521:0
15	7:116	17:64	21:40	50:118	51:86	55:34	78:95	125:44	174:85	232:72	279:15	292:21	381:35	532:0	535:0
15	12:25	20:72	30:28	36:95	53:47	79:111	113:20	170:53	212:6	237:107	242:9	311:68	345:60	526:0	529:0
15	8:116	10:85	23:44	44:19	45:18	58:7	114:16	155:15	211:21	231:62	261:50	320:105	387:43	513:0	516:0
15	7:117	9:86	22:45	43:20	47:18	57:8	116:16	154:16	210:22	233:62	263:50	319:106	389:43	515:0	518:0
15	4:66	20:70	26:2	34:98	50:95	90:105	199:70	225:80	238:17	266:10	285:112	288:48	340:101	517:0	520:0
15	12:26	23:67	27:2	46:34	52:110	67:11	76:78	120:61	164:48	216:76	226:70	286:38	356:82	507:0	510:0
15	6:68	22:67	25:53	44:66	54:7	95:79	150:69	217:99	229:1	256:96	264:27	349:52	377:107	528:0	531:0
15	8:40	19:12	26:115	38:118	43:115	102:83	119:72	179:105	205:5	228:34	237:113	304:70	381:3	511:0	514:0
15	13:25	18:73	31:28	37:95	51:48	80:111	111:21	168:54	210:7	238:107	240:10	309:69	346:60	527:0	530:0
15	2:74	15:12	30:63	45:104	54:37	57:17	104:89	147:13	220:78	246:119	269:110	308:108	373:22	519:0	522:0
15	5:88	11:31	28:31	39:19	49:80	69:99	114:46	151:1	223:21	228:88	235:74	296:117	378:93	523:0	526:0
15	6:41	20:12	24:116	36:119	44:115	103:83	117:73	177:106	206:5	229:34	238:113	305:70	382:3	512:0	515:0
15	7:40	18:12	25:115	37:118	42:115	104:82	118:72	178:105	204:5	230:33	239:112	303:70	383:2	510:0	513:0
15	13:26	21:68	28:2	47:34	53:110	68:11	77:78	121:61	162:49	217:76	227:70	287:38	354:83	508:0	511:0
15	8:116	15:65	22:40	48:119	52:86	56:34	79:95	123:45	175:85	233:72	280:15	293:21	382:35	533:0	536:0
15	3:89	9:32	29:31	40:19	50:80	70:99	115:46	152:1	224:21	229:88	236:74	294:118	379:93	524:0	527:0
15	7:68	23:67	26:53	42:67	55:7	93:80	151:69	218:99	230:1	257:96	265:27	350:52	375:108	529:0	532:0
15	14:24	19:72	32:27	38:94	52:47	78:111	112:20	169:53	211:6	239:106	241:9	310:68	347:59	525:0	528:0
15	9:35	15:10	29:67	40:32	56:50	59:87	85:105	91:3	131:80	179:114	249:74	309:115	367:82	398:0	538:0
15	11:34	17:9	28:67	39:32	55:50	58:87	84:105	90:3	130:80	178:114	251:73	311:114	366:82	397:0	537:0
15	6:116	16:64	23:39	49:118	53:85	54:34	80:94	124:44	176:84	231:72	281:14	291:21	383:34	531:0	534:0
15	14:26	22:68	29:2	45:35	51:111	66:12	75:79	122:61	163:49	218:76	225:71	285:39	355:83	509:0	512:0
15	1:75	17:12	32:63	47:104	56:37	59:17	103:90	149:13	219:79	248:119	268:111	307:109	372:23	521:0	524:0
15	10:34	16:9	27:67	41:31	54:50	57:87	86:104	92:2	129:80	177:114	250:73	310:114	368:81	396:0	539:119
15	9:0	18:28	33:90	43:2	58:99	68:114	96:115	144:84	196:64	226:92	241:3	314:11	342:96	535:0	538:0
15	6:117	11:85	21:45	42:20	46:18	59:7	115:16	153:16	212:21	232:62	262:50	318:106	388:43	514:0	517:0
15	4:88	10:31	27:31	41:18	48:80	71:98	116:45	150:1	222:21	230:87	234:74	295:117	380:92	522:0	525:0
15	3:66	19:70	25:2	33:98	49:95	92:104	198:70	227:79	237:17	265:10	287:111	290:47	339:101	516:0	519:0
15	8:68	21:68	24:54	43:67	56:7	94:80	152:69	216:100	228:2	255:97	266:27	348:53	376:108	530:0	533:0
15	0:75	16:12	31:63	46:104	55:37	58:17	102:90	148:13	221:78	247:119	267:111	306:109	374:22	520:0	523:0
15	11:119	20:27	35:89	42:2	57:99	67:114	98:114	146:83	195:64	225:92	240:3	313:11	344:95	534:0	537:0
16	1:116	9:52	19:36	34:12	38:25	56:111	64:40	120:116	175:84	227:49	248:31	294:76	330:83	391:119	419:0	422:0
16	0:1	12:51	15:59	32:33	44:19	51:48	70:87	133:98	198:70	233:96	243:62	275:91	352:41	390:52	444:0	447:0
16	2:115	10:51	20:35	35:11	36:25	54:111	65:39	121:115	176:83	225:49	246:31	295:75	331:82	392:118	417:0	420:0
16	4:94	13:96	18:38	28:85	41:54	55:10	59:103	73:106	127:74	165:27	252:65	282:58	341:60	359:79	465:0	468:0
16	1:38	6:87	24:23	30:17	39:93	108:118	157:67	197:104	221:53	229:103	237:71	262:94	330:114	354:24	456:0	459:0
16	2:13	11:99	20:110	33:74	53:32	105:73	161:91	209:54	232:47	239:15	269:6	284:42	323:46	348:116	421:0	424:0
16	4:109	16:51	18:89	26:110	50:88	55:62	75:19	136:70	154:6	228:118	249:5	282:93	343:24	352:17	480:0	483:0
16	8:66	10:112	21:68	36:81	43:41	48:113	73:56	106:14	147:45	181:115	233:79	271:41	309:34	354:112	442:0	445:0
16	3:95	12:97	20:38	27:86	40:55	54:11	58:104	72:107	126:75	167:27	254:65	284:58	340:61	358:80	467:0	470:0
16	2:78	15:50	24:58	31:22	41:34	55:109	83:60	119:39	209:34	235:91	265:41	270:26	318:34	362:98	502:0	505:0
16	5:24	13:106	23:2	43:44	50:66	81:88	101:104	121:98	201:82	228:49	233:103	302:84	326:93	374:39	396:0	399:0
16	6:10	10:56	25:84	33:52	40:28	45:86	79:96	126:114	189:23	239:110	246:21	273:21	325:97	393:26	432:0	435:0
16	2:8	11:56	29:32	31:87	34:87	95:28	136:67	181:26	225:96	234:84	259:99	301:83	333:64	381:43	469:0	472:0
16	8:10	9:57	24:85	35:52	39:29	47:86	78:97	128:114	191:23	238:111	248:21	275:21	324:98	395:26	434:0	437:0
16	4:13	6:73	27:39	37:71	46:18	87:25	200:35	208:8	226:91	228:114	253:6	279:71	336:86	368:102	491:0	494:0
16	13:48	15:51	22:117	31:95	50:11	109:6	126:114	179:26	227:41	236:55	255:115	297:56	323:41	378:57	410:0	413:0
16	14:47	16:50	23:116	32:94	48:11	110:5	127:113	177:26	225:41	234:55	256:114	298:55	321:41	379:56	408:0	411:0
16	1:13	10:99	19:110	35:73	52:32	107:72	160:91	208:54	231:47	238:15	268:6	283:42	322:46	350:115	420:0	423:0
16	6:108	11:83	22:34	34:83	41:103	51:52	103:24	143:76	201:95	235:52	254:44	289:20	347:11	365:67	484:0	487:0
16	15:46	18:24	24:41	30:46	44:7	55:89	124:69	141:25	163:82	213:45	236:100	262:105	327:107	358:50	438:0	441:0
16	8:107	10:83	21:34	33:83	40:103	53:51	102:24	142:76	203:94	234:52	253:44	288:20	346:11	364:67	483:0	486:0
16	2:31	5:20	17:6	28:43	37:100	48:15	59:23	118:63	139:38	195:93	256:40	273:14	333:108	363:92	424:0	427:0
16	1:119	14:77	20:95	22:45	36:8	52:89	57:32	92:37	135:104	213:38	224:39	243:10	336:73	395:112	461:0	464:0
16	4:13	16:70	30:84	41:101	47:116	105:76	144:72	203:119	222:65	225:45	232:99	258:67	305:68	376:95	450:0	453:0
16	5:13	17:70	31:84	39:102	45:117	106:76	145:72	201:0	223:65	226:45	233:99	259:67	303:69	377:95	451:0	454:0
16	6:67	11:112	22:68	37:81	44:41	49:113	74:56	107:14	148:45	182:115	231:80	272:41	310:34	355:112	443:0	446:0
16	1:8	10:56	28:32	30:87	33:87	94:28	135:67	180:26	227:95	236:83	258:99	300:83	335:63	383:42	468:0	471:0
16	16:46	19:24	25:41	31:46	42:8	56:89	125:69	142:25	164:82	214:45	234:101	263:105	328:107	359:50	439:0	442:0
16	0:9	9:57	27:33	32:87	35:87	93:29	137:67	182:26	226:96	235:84	260:99	302:83	334:64	382:43	470:0	473:0
16	1:63	6:0	26:20	38:16	55:33	57:35	69:95	97:75	163:23	170:48	258:115	276:31	322:56	385:102	401:0	404:0
16	3:110	15:52	20:89	25:111	49:89	54:63	77:19	135:71	153:7	230:118	251:5	284:93	342:25	351:18	482:0	485:0
