12	2:19	15:100	25:59	29:37	52:89	102:88	164:58	224:52	236:115	302:61	423:0	426:0
12	4:64	13:12	24:19	33:25	92:86	135:55	176:99	225:6	261:98	310:111	428:0	431:0
12	3:32	23:69	28:5	34:89	80:12	180:50	232:2	247:31	272:39	306:67	402:0	405:0
12	7:48	9:69	19:70	32:74	57:93	62:67	178:50	210:15	230:16	325:26	430:0	433:0
12	8:94	20:114	25:29	31:96	88:37	96:53	238:119	248:81	291:0	345:96	418:0	421:0
12	11:72	29:20	33:4	42:93	52:22	82:85	134:79	203:84	254:117	293:18	352:0	355:0
12	2:88	10:2	24:44	49:65	55:59	115:116	159:68	250:105	278:45	322:25	356:0	359:0
12	7:12	17:98	26:36	43:57	66:97	143:32	179:62	225:28	243:49	315:41	405:0	408:0
12	5:32	14:102	19:85	40:43	53:73	69:20	142:22	223:65	239:56	295:84	357:0	360:0
12	1:34	8:106	28:104	30:117	52:117	86:61	183:82	230:54	279:100	309:90	376:0	379:0
12	11:48	23:69	31:95	51:109	55:110	109:100	128:91	207:49	240:30	341:57	468:0	471:0
12	6:45	17:14	25:116	45:45	56:81	82:106	153:75	198:79	267:45	338:68	477:0	480:0
12	5:33	13:75	21:107	41:39	97:17	146:61	205:119	231:33	234:37	324:7	482:0	485:0
12	10:42	14:12	22:10	30:116	59:74	104:96	140:12	260:58	275:61	328:90	408:0	411:0
12	8:104	18:65	29:77	38:65	50:68	95:73	206:82	226:92	274:102	341:71	386:0	389:0
12	11:42	12:13	23:10	31:116	57:75	102:97	138:13	258:59	273:62	329:90	409:0	412:0
12	6:77	9:85	25:84	40:86	54:58	117:37	125:24	182:71	239:2	333:97	388:0	391:0
12	1:24	5:59	24:80	30:32	59:91	67:42	171:19	217:103	237:118	314:118	435:0	438:0
12	7:103	14:9	29:72	35:94	56:6	107:96	129:44	216:56	233:91	300:62	471:0	474:0
12	2:97	17:53	21:36	43:73	55:6	99:33	166:18	196:19	229:57	305:45	421:0	424:0
12	3:2	19:23	23:47	45:84	48:72	90:63	125:36	192:7	258:80	315:28	475:0	478:0
12	0:15	9:73	30:21	33:87	57:63	95:58	142:61	197:4	231:26	337:45	371:0	374:0
12	4:17	16:83	20:67	36:72	56:116	76:104	139:66	263:7	272:61	330:87	458:0	461:0
12	1:72	10:9	26:114	31:42	43:12	149:27	206:90	228:17	261:4	314:102	360:0	363:0
12	5:1	18:23	22:47	47:83	50:71	92:62	124:36	194:6	260:79	317:27	474:0	477:0
12	0:20	21:108	28:70	35:111	77:110	157:50	188:6	236:39	250:46	342:34	433:0	436:0
12	6:104	19:64	27:77	36:65	48:68	93:73	204:82	227:91	275:101	339:71	384:0	387:0
12	1:30	24:113	29:86	42:113	58:17	145:119	192:45	256:97	265:9	295:36	460:0	463:0
12	10:49	22:70	30:96	53:109	54:111	108:101	127:92	209:49	242:30	340:58	470:0	473:0
12	8:41	20:97	31:12	37:52	57:3	73:85	155:67	222:119	254:4	343:96	400:0	403:0
12	0:100	13:65	36:11	39:10	59:26	79:109	137:13	199:113	251:59	284:29	465:0	468:0
12	3:17	15:83	19:67	38:71	55:116	75:104	138:66	262:7	271:61	332:86	457:0	460:0
12	7:74	22:25	34:36	46:116	51:24	72:13	139:74	232:22	282:39	347:116	364:0	367:0
12	5:93	12:94	26:37	35:90	64:116	152:76	213:28	229:100	240:82	297:58	398:0	401:0
12	8:48	10:69	20:70	30:75	58:93	60:68	179:50	211:15	228:17	326:26	431:0	434:0
12	1:28	17:83	21:6	41:11	113:85	169:54	218:76	226:109	248:78	332:38	372:0	375:0
12	2:4	9:71	22:37	39:65	151:52	210:41	225:44	238:84	267:74	290:38	454:0	457:0
12	0:20	16:100	26:59	27:38	53:89	103:88	162:59	222:53	234:116	300:62	424:0	427:0
12	5:114	13:97	24:105	37:89	47:113	85:9	132:110	177:71	237:77	341:118	441:0	444:0
12	11:58	18:111	28:68	43:103	89:9	172:75	198:87	233:47	240:45	328:76	448:0	451:0
12	7:45	9:58	20:12	45:18	79:61	102:115	145:31	189:16	226:58	287:42	394:0	397:0
12	3:112	16:68	29:6	39:2	51:82	87:109	126:24	243:113	276:117	319:33	487:0	490:0
12	4:115	12:98	26:105	36:90	46:114	84:10	134:110	179:71	239:77	340:119	443:0	446:0
12	1:14	10:72	31:20	34:86	58:62	93:58	143:60	195:4	232:25	338:44	369:0	372:0
12	5:111	15:68	28:6	41:1	53:81	89:108	128:23	245:112	278:116	318:33	486:0	489:0
12	3:93	13:93	24:37	33:90	65:115	150:76	214:27	230:99	241:81	298:57	396:0	399:0
12	11:118	12:54	21:80	27:43	56:40	67:88	155:73	219:79	256:69	281:74	415:0	418:0
12	1:88	9:2	26:43	48:65	54:59	114:116	161:67	249:105	277:45	321:25	355:0	358:0
12	7:104	20:64	28:77	37:65	49:68	94:73	205:82	225:92	273:102	340:71	385:0	388:0
12	10:118	14:53	23:79	29:42	55:40	66:88	154:73	221:78	255:69	280:74	414:0	417:0
12	2:100	12:66	38:11	41:10	58:27	78:110	136:14	198:114	250:60	283:30	467:0	470:0
12	3:44	9:84	21:6	30:50	50:78	106:9	167:35	234:21	298:34	320:42	462:0	465:0
12	5:20	20:31	22:31	45:9	59:58	119:18	147:13	202:67	244:86	302:37	452:0	455:0
12	6:95	18:115	26:29	32:96	89:37	97:53	239:119	246:82	292:0	346:96	419:0	422:0
12	4:33	12:75	23:106	40:39	96:17	145:61	204:119	233:32	236:36	326:6	481:0	484:0
12	2:87	21:3	24:45	36:38	55:104	62:113	69:46	121:10	201:31	285:4	378:0	381:0
12	5:83	14:75	29:0	38:33	43:40	170:73	211:94	234:59	264:34	347:25	390:0	393:0
12	9:119	13:54	22:80	28:43	54:41	68:88	153:74	220:79	257:69	279:75	416:0	419:0
12	1:79	16:80	39:113	42:74	46:0	105:115	175:76	238:7	274:51	342:109	349:0	352:0
12	0:79	15:80	41:112	44:73	45:0	107:114	174:76	237:7	273:51	344:108	348:0	351:0
12	4:32	21:70	29:5	35:89	78:13	181:50	233:2	248:31	270:40	307:67	403:0	406:0
12	6:104	13:10	28:73	34:95	55:7	106:97	131:44	218:56	232:92	302:62	473:0	476:0
12	2:63	12:66	26:57	46:76	77:47	129:40	183:0	226:113	253:99	303:87	483:0	486:0
12	0:29	16:84	23:6	40:12	112:86	168:55	217:77	225:110	247:79	331:39	374:0	377:0
12	1:20	22:108	29:70	33:112	75:111	158:50	186:7	234:40	251:46	343:34	434:0	437:0
12	4:33	13:103	18:86	39:44	52:74	71:20	141:23	222:66	238:57	294:85	359:0	362:0
12	3:33	12:103	20:85	41:43	51:74	70:20	143:22	224:65	237:57	296:84	358:0	361:0
12	7:45	15:15	26:116	46:45	54:82	83:106	154:75	199:79	268:45	336:69	478:0	481:0
12	1:64	14:66	25:58	45:77	76:48	131:40	185:0	225:114	252:100	305:87	485:0	488:0
12	2:40	6:74	17:7	39:74	57:32	92:81	191:97	220:26	234:15	322:25	446:0	449:0
12	8:74	23:25	35:36	47:116	52:24	73:13	140:74	233:22	283:39	345:117	365:0	368:0
12	4:84	13:76	28:1	37:34	42:41	169:74	210:95	236:59	266:34	346:26	392:0	395:0
12	0:88	11:1	25:43	50:64	56:58	116:115	160:67	251:104	276:45	323:24	354:0	357:0
12	3:33	14:74	22:106	39:39	98:16	144:61	206:118	232:32	235:36	325:6	480:0	483:0
12	6:42	18:98	32:12	38:52	58:3	74:85	153:68	223:119	252:5	344:96	401:0	404:0
12	8:45	16:15	24:117	47:45	55:82	81:107	155:75	200:79	269:45	337:69	479:0	482:0
12	9:59	19:111	29:68	44:103	87:10	173:75	199:87	231:48	241:45	329:76	449:0	452:0
12	4:44	10:84	22:6	31:50	48:79	107:9	165:36	235:21	299:34	318:43	463:0	466:0
12	5:44	11:84	23:6	32:50	49:79	105:10	166:36	236:21	297:35	319:43	464:0	467:0
12	7:52	18:90	24:56	34:35	122:88	170:41	188:57	233:93	237:117	320:67	413:0	416:0
12	2:79	17:80	40:113	43:74	47:0	106:115	176:76	239:7	275:51	343:109	350:0	353:0
12	3:84	12:76	27:1	36:34	44:40	168:74	212:94	235:59	265:34	345:26	391:0	394:0
12	6:74	21:25	33:36	45:116	53:23	74:12	138:74	231:22	284:38	346:116	363:0	366:0
12	5:63	14:11	25:18	34:24	90:86	136:54	174:99	226:5	262:97	311:110	426:0	429:0
12	0:25	4:60	26:80	32:32	58:92	66:43	173:19	216:104	239:118	313:119	437:0	440:0
12	2:66	13:5	20:54	42:36	54:68	85:24	151:5	235:24	277:110	306:67	367:0	370:0
12	10:90	17:34	30:94	39:107	53:67	100:30	157:60	192:56	241:40	307:25	381:0	384:0
12	1:4	11:70	21:37	41:64	150:52	212:40	227:43	237:84	269:73	289:38	453:0	456:0
12	8:12	15:99	24:37	44:57	67:97	141:33	177:63	226:28	244:49	316:41	406:0	409:0
12	0:34	7:106	27:104	32:116	51:117	85:61	185:81	229:54	281:99	311:89	375:0	378:0
12	4:93	14:93	25:37	34:90	63:116	151:76	215:27	228:100	242:81	299:57	397:0	400:0
12	1:88	23:3	26:45	38:38	54:105	61:114	71:46	120:11	203:31	287:4	380:0	383:0
12	8:45	10:58	18:13	46:18	80:61	103:115	146:31	190:16	227:58	285:43	395:0	398:0
12	2:72	11:9	24:115	32:42	44:12	147:28	204:91	229:17	262:4	312:103	361:0	364:0
12	0:73	9:10	25:115	30:43	42:13	148:28	205:91	230:17	263:4	313:103	362:0	365:0
