9	17:67	83:12	162:45	184:112	226:103	232:104	245:9	442:0	445:0
9	6:54	24:82	146:99	212:16	233:11	252:104	264:70	503:0	506:0
9	0:38	23:50	33:105	120:29	234:28	263:14	292:101	345:0	348:0
9	1:38	21:51	34:105	121:29	235:28	261:15	293:101	346:0	349:0
9	7:12	25:64	45:17	168:42	199:96	238:52	245:47	352:0	355:0
9	10:100	19:111	67:92	176:12	233:44	247:51	275:114	450:0	453:0
9	6:88	32:66	154:56	222:60	230:41	236:5	249:40	466:0	469:0
9	0:109	56:11	103:59	186:24	225:93	239:55	252:72	476:0	479:0
9	12:112	29:34	33:49	106:14	212:84	226:54	240:31	356:0	359:0
9	19:42	25:17	83:109	139:83	215:10	228:45	264:30	421:0	424:0
9	5:91	21:5	164:22	189:0	230:5	253:89	268:109	334:0	337:0
9	11:53	24:100	51:40	103:67	205:80	241:75	261:23	458:0	461:0
9	14:98	18:16	53:43	155:8	238:106	244:72	270:76	330:0	333:0
9	13:99	20:16	52:44	154:9	237:107	243:73	272:76	332:0	335:0
9	10:108	23:69	71:41	113:105	226:105	264:87	281:9	378:0	381:0
9	0:118	24:95	128:0	148:90	181:23	236:50	253:20	449:0	452:0
9	6:102	21:22	58:110	157:106	228:30	248:0	276:72	473:0	476:0
9	2:55	15:115	73:54	124:112	235:74	262:48	285:110	500:0	503:0
9	7:77	18:110	77:113	118:26	237:69	243:119	292:27	318:0	321:0
9	9:19	28:115	85:31	143:56	233:15	241:84	293:88	374:0	377:0
9	6:45	16:68	38:115	160:77	217:32	239:56	261:29	401:0	404:0
9	2:117	26:94	127:0	147:90	180:23	235:50	252:20	448:0	451:0
9	15:52	24:107	40:108	69:90	109:92	207:57	240:117	470:0	473:0
9	9:96	21:112	79:21	165:66	230:63	246:2	286:51	326:0	329:0
9	3:92	22:5	162:23	190:0	228:6	254:89	269:109	335:0	338:0
9	0:110	18:11	60:88	142:29	200:11	236:17	252:0	392:0	395:0
9	15:68	81:13	163:45	185:112	227:103	233:104	243:10	443:0	446:0
9	5:92	12:104	27:96	95:104	136:69	259:12	295:1	507:0	510:0
9	10:95	22:111	80:20	166:65	228:63	247:1	287:50	324:0	327:0
9	8:77	19:110	75:114	119:26	238:69	244:119	293:27	319:0	322:0
9	4:91	23:4	163:22	191:119	229:5	252:89	267:109	333:0	336:0
9	6:109	26:20	95:53	115:19	176:43	235:70	257:37	431:0	434:0
9	10:49	15:16	33:43	153:111	231:75	254:47	295:38	481:0	484:0
