10	19:12	47:9	69:0	81:0	97:1	224:1	360:2	442:5	920:0	944:0
10	6:7	44:5	50:7	93:10	110:0	135:0	270:1	433:2	902:0	926:0
10	23:4	39:3	58:9	78:1	107:13	145:1	404:8	447:0	749:0	773:0
10	3:6	26:2	53:5	82:1	106:6	200:1	338:8	515:1	864:0	888:0
10	21:12	25:10	71:0	83:0	99:1	226:1	362:2	444:5	922:0	946:0
10	19:5	29:0	66:0	87:1	103:9	164:4	324:0	524:10	577:0	1056:0
10	4:0	38:4	55:5	78:9	98:14	182:9	304:5	550:5	718:0	742:0
10	14:11	28:12	57:6	72:13	108:13	167:3	328:1	417:2	861:0	885:0
10	21:7	34:1	54:3	81:0	115:0	134:0	406:5	478:11	674:0	698:0
10	17:6	35:11	59:0	87:11	107:0	215:8	324:11	569:14	1037:0	1061:0
10	12:12	40:9	62:0	74:0	114:0	217:1	377:1	435:5	913:0	937:0
10	9:11	32:4	64:0	91:5	103:5	236:0	261:4	546:11	950:0	974:0
10	4:5	44:3	63:9	83:1	112:13	150:1	385:9	452:0	754:0	778:0
10	18:6	41:2	68:5	73:2	97:7	215:1	353:8	506:2	879:0	903:0
10	23:10	37:11	66:5	81:12	117:12	152:3	313:1	426:1	846:0	870:0
10	5:7	43:5	49:7	92:10	109:0	134:0	269:1	432:2	901:0	925:0
10	3:13	31:10	53:1	89:0	105:1	232:1	368:2	450:5	928:0	952:0
10	11:6	34:2	61:5	90:1	114:6	208:1	346:8	523:1	872:0	896:0
10	13:8	26:2	70:3	73:1	107:1	126:1	398:6	470:12	690:0	714:0
10	2:1	40:0	71:2	77:14	109:0	185:5	360:10	560:13	728:0	752:0
10	17:12	45:9	67:0	79:0	119:0	222:1	382:1	440:5	918:0	942:0
10	5:6	28:2	55:5	84:1	108:6	202:1	340:8	517:1	866:0	890:0
10	10:13	38:10	60:1	72:1	112:1	239:1	375:2	433:6	935:0	959:0
10	2:7	40:5	70:6	89:10	106:0	131:0	266:1	453:1	898:0	922:0
10	11:11	34:4	66:0	93:5	105:5	238:0	263:4	548:11	952:0	976:0
10	8:11	28:1	55:3	85:3	107:0	194:5	310:3	469:0	606:0	630:0
10	7:7	45:5	51:7	94:10	111:0	136:0	271:1	434:2	903:0	927:0
10	1:1	39:0	70:2	76:14	108:0	184:5	383:9	559:13	727:0	751:0
10	16:12	44:9	66:0	78:0	118:0	221:1	381:1	439:5	917:0	941:0
10	19:10	42:3	50:0	77:5	113:4	222:0	247:4	532:11	936:0	960:0
10	15:14	30:12	52:4	80:2	107:14	233:3	266:5	461:2	643:0	667:0
10	23:6	37:5	67:6	86:10	103:0	128:0	287:0	450:1	895:0	919:0
10	0:2	43:1	61:4	74:1	116:2	208:4	250:8	484:1	1003:0	1027:0
10	2:11	25:4	57:0	84:5	96:5	229:0	254:4	539:11	943:0	967:0
