10	6:14	14:10	17:28	29:3	34:40	48:3	131:26	150:1	252:0	260:0
10	7:14	15:10	18:28	30:3	35:40	49:3	132:26	151:1	253:0	261:0
10	0:15	8:11	19:28	31:3	36:40	50:3	133:26	144:2	254:0	262:0
10	1:15	9:11	20:28	24:4	37:40	51:3	134:26	145:2	255:0	263:0
10	1:11	13:11	20:5	27:10	34:37	41:20	102:32	189:0	256:0	264:0
10	2:11	14:11	21:5	28:10	35:37	42:20	103:32	190:0	257:0	265:0
10	3:11	15:11	22:5	29:10	36:37	43:20	96:33	191:0	258:0	266:0
10	4:11	8:12	23:5	30:10	37:37	44:20	97:33	184:1	259:0	267:0
10	5:11	9:12	16:6	31:10	38:37	45:20	98:33	185:1	260:0	268:0
10	6:11	10:12	17:6	24:11	39:37	46:20	99:33	186:1	261:0	269:0
10	7:11	11:12	18:6	25:11	32:38	47:20	100:33	187:1	262:0	270:0
10	0:12	12:12	19:6	26:11	33:38	40:21	101:33	188:1	263:0	271:0
10	4:42	10:18	18:28	25:25	32:44	51:0	115:34	136:35	264:0	272:0
10	5:42	11:18	19:28	26:25	33:44	52:0	116:34	137:35	265:0	273:0
10	6:42	12:18	20:28	27:25	34:44	53:0	117:34	138:35	266:0	274:0
10	7:42	13:18	21:28	28:25	35:44	54:0	118:34	139:35	267:0	275:0
10	0:43	14:18	22:28	29:25	36:44	55:0	119:34	140:35	268:0	276:0
10	1:43	15:18	23:28	30:25	37:44	48:1	112:35	141:35	269:0	277:0
10	2:43	8:19	16:29	31:25	38:44	49:1	113:35	142:35	270:0	278:0
10	3:43	9:19	17:29	24:26	39:44	50:1	114:35	143:35	271:0	279:0
10	7:44	14:1	21:3	30:32	37:1	60:3	80:0	141:8	272:0	280:0
10	0:0	15:1	22:3	31:32	38:1	61:3	81:0	142:8	273:0	281:0
10	1:0	8:2	23:3	24:33	39:1	62:3	82:0	143:8	274:0	282:0
10	2:0	9:2	16:4	25:33	32:2	63:3	83:0	136:9	275:0	283:0
10	3:0	10:2	17:4	26:33	33:2	56:4	84:0	137:9	276:0	284:0
10	4:0	11:2	18:4	27:33	34:2	57:4	85:0	138:9	277:0	285:0
10	5:0	12:2	19:4	28:33	35:2	58:4	86:0	139:9	278:0	286:0
10	6:0	13:2	20:4	29:33	36:2	59:4	87:0	140:9	279:0	287:0
10	1:32	15:33	20:16	27:36	39:37	50:9	107:2	140:4	280:0	288:0
10	2:32	8:34	21:16	28:36	32:38	51:9	108:2	141:4	281:0	289:0
10	3:32	9:34	22:16	29:36	33:38	52:9	109:2	142:4	282:0	290:0
10	4:32	10:34	23:16	30:36	34:38	53:9	110:2	143:4	283:0	291:0
10	5:32	11:34	16:17	31:36	35:38	54:9	111:2	136:5	284:0	292:0
10	6:32	12:34	17:17	24:37	36:38	55:9	104:3	137:5	285:0	293:0
10	7:32	13:34	18:17	25:37	37:38	48:10	105:3	138:5	286:0	294:0
10	0:33	14:34	19:17	26:37	38:38	49:10	106:3	139:5	287:0	295:0
10	3:18	10:6	21:15	26:4	34:19	64:4	114:24	171:4	288:0	296:0
10	4:18	11:6	22:15	27:4	35:19	65:4	115:24	172:4	289:0	297:0
10	5:18	12:6	23:15	28:4	36:19	66:4	116:24	173:4	290:0	298:0
10	6:18	13:6	16:16	29:4	37:19	67:4	117:24	174:4	291:0	299:0
10	7:18	14:6	17:16	30:4	38:19	68:4	118:24	175:4	292:0	300:0
10	0:19	15:6	18:16	31:4	39:19	69:4	119:24	168:5	293:0	301:0
10	1:19	8:7	19:16	24:5	32:20	70:4	112:25	169:5	294:0	302:0
10	2:19	9:7	20:16	25:5	33:20	71:4	113:25	170:5	295:0	303:0
10	0:20	14:15	20:19	31:30	32:0	41:0	88:2	147:4	296:0	304:0
10	1:20	15:15	21:19	24:31	33:0	42:0	89:2	148:4	297:0	305:0
10	2:20	8:16	22:19	25:31	34:0	43:0	90:2	149:4	298:0	306:0
10	3:20	9:16	23:19	26:31	35:0	44:0	91:2	150:4	299:0	307:0
10	4:20	10:16	16:20	27:31	36:0	45:0	92:2	151:4	300:0	308:0
10	5:20	11:16	17:20	28:31	37:0	46:0	93:2	144:5	301:0	309:0
10	6:20	12:16	18:20	29:31	38:0	47:0	94:2	145:5	302:0	310:0
10	7:20	13:16	19:20	30:31	39:0	40:1	95:2	146:5	303:0	311:0
10	3:37	15:28	21:1	25:0	33:2	72:3	120:5	146:15	304:0	312:0
10	4:37	8:29	22:1	26:0	34:2	73:3	121:5	147:15	305:0	313:0
10	5:37	9:29	23:1	27:0	35:2	74:3	122:5	148:15	306:0	314:0
10	6:37	10:29	16:2	28:0	36:2	75:3	123:5	149:15	307:0	315:0
10	7:37	11:29	17:2	29:0	37:2	76:3	124:5	150:15	308:0	316:0
10	0:38	12:29	18:2	30:0	38:2	77:3	125:5	151:15	309:0	317:0
10	1:38	13:29	19:2	31:0	39:2	78:3	126:5	144:16	310:0	318:0
10	2:38	14:29	20:2	24:1	32:3	79:3	127:5	145:16	311:0	319:0
10	3:32	10:11	18:0	29:15	33:14	78:0	87:12	180:33	312:0	320:0
10	4:32	11:11	19:0	30:15	34:14	79:0	80:13	181:33	313:0	321:0
10	5:32	12:11	20:0	31:15	35:14	72:1	81:13	182:33	314:0	322:0
10	6:32	13:11	21:0	24:16	36:14	73:1	82:13	183:33	315:0	323:0
10	7:32	14:11	22:0	25:16	37:14	74:1	83:13	176:34	316:0	324:0
10	0:33	15:11	23:0	26:16	38:14	75:1	84:13	177:34	317:0	325:0
10	1:33	8:12	16:1	27:16	39:14	76:1	85:13	178:34	318:0	326:0
10	2:33	9:12	17:1	28:16	32:15	77:1	86:13	179:34	319:0	327:0
10	5:3	8:3	18:11	31:0	33:6	69:11	87:22	161:1	328:0	336:0
10	6:3	9:3	19:11	24:1	34:6	70:11	80:23	162:1	329:0	337:0
10	7:3	10:3	20:11	25:1	35:6	71:11	81:23	163:1	330:0	338:0
