13	22:0	30:36	44:21	102:0	112:42	127:30	182:0	185:27	210:11	262:0	264:28	334:0	342:0
13	23:0	31:36	45:21	103:0	113:42	120:31	183:0	186:27	211:11	263:0	265:28	335:0	343:0
13	24:0	34:2	98:19	104:0	106:6	138:16	153:32	184:0	232:43	264:0	276:30	336:0	344:0
13	25:0	35:2	99:19	105:0	107:6	139:16	154:32	185:0	233:43	265:0	277:30	337:0	345:0
13	26:0	36:2	100:19	106:0	108:6	140:16	155:32	186:0	234:43	266:0	278:30	338:0	346:0
13	27:0	37:2	101:19	107:0	109:6	141:16	156:32	187:0	235:43	267:0	279:30	339:0	347:0
13	28:0	38:2	102:19	108:0	110:6	142:16	157:32	188:0	236:43	268:0	272:31	340:0	348:0
13	29:0	39:2	103:19	109:0	111:6	143:16	158:32	189:0	237:43	269:0	273:31	341:0	349:0
13	30:0	32:3	96:20	104:7	110:0	136:17	159:32	190:0	238:43	270:0	274:31	342:0	350:0
13	31:0	33:3	97:20	105:7	111:0	137:17	152:33	191:0	239:43	271:0	275:31	343:0	351:0
13	27:28	32:0	65:7	72:9	112:0	153:14	179:12	192:0	235:31	260:19	272:0	344:0	352:0
13	28:28	33:0	66:7	73:9	113:0	154:14	180:12	193:0	236:31	261:19	273:0	345:0	353:0
13	29:28	34:0	67:7	74:9	114:0	155:14	181:12	194:0	237:31	262:19	274:0	346:0	354:0
13	30:28	35:0	68:7	75:9	115:0	156:14	182:12	195:0	238:31	263:19	275:0	347:0	355:0
13	31:28	36:0	69:7	76:9	116:0	157:14	183:12	196:0	239:31	256:20	276:0	348:0	356:0
13	24:29	37:0	70:7	77:9	117:0	158:14	176:13	197:0	232:32	257:20	277:0	349:0	357:0
13	25:29	38:0	71:7	78:9	118:0	159:14	177:13	198:0	233:32	258:20	278:0	350:0	358:0
13	26:29	39:0	64:8	79:9	119:0	152:15	178:13	199:0	234:32	259:20	279:0	351:0	359:0
