5	4:7	8:26	50:15	117:0	125:0
5	3:15	11:19	34:39	305:0	313:0
5	1:26	23:14	90:33	320:0	328:0
5	15:16	16:8	24:38	163:0	171:0
5	0:9	14:10	84:3	154:0	162:0
5	12:16	21:7	29:37	160:0	168:0
5	13:42	20:8	42:3	292:0	300:0
5	4:38	17:20	79:28	143:0	151:0
5	2:9	8:11	86:3	156:0	164:0
5	7:19	10:2	30:11	183:0	191:0
5	5:9	16:32	55:7	238:0	246:0
5	15:2	23:20	40:20	303:0	311:0
5	6:1	19:4	68:21	313:0	321:0
5	0:27	22:15	89:34	327:0	335:0
5	1:12	12:37	34:0	194:0	202:0
5	13:32	17:16	50:15	331:0	339:0
5	4:35	20:40	63:5	219:0	227:0
5	7:26	21:15	88:34	326:0	334:0
5	11:42	18:8	40:3	290:0	298:0
5	8:43	23:8	45:3	295:0	303:0
5	10:17	19:8	27:38	166:0	174:0
5	3:12	14:37	36:0	196:0	204:0
5	2:13	16:28	68:36	97:0	105:0
5	5:16	12:1	30:16	211:0	219:0
5	6:16	13:3	25:8	135:0	143:0
5	7:13	21:28	65:37	102:0	110:0
5	1:13	23:27	67:36	96:0	104:0
5	11:2	19:20	44:19	299:0	307:0
5	4:1	14:37	58:12	230:0	238:0
5	0:11	8:16	40:20	150:0	158:0
5	3:7	15:25	49:15	116:0	124:0
5	10:42	17:8	47:2	289:0	297:0
5	2:16	9:1	27:16	208:0	216:0
5	1:2	22:4	71:21	316:0	324:0
5	13:2	21:20	46:19	301:0	309:0
5	6:8	12:10	82:3	152:0	160:0
5	11:32	23:15	48:15	329:0	337:0
5	5:37	18:19	72:28	136:0	144:0
5	0:1	10:37	62:11	226:0	234:0
5	3:19	14:1	26:11	179:0	187:0
5	7:1	20:4	69:21	314:0	322:0
5	1:8	22:0	80:12	349:0	357:0
5	2:16	9:3	29:7	131:0	139:0
5	11:36	21:17	60:1	189:0	197:0
5	4:26	18:15	93:33	323:0	331:0
5	12:32	16:16	49:15	330:0	338:0
5	14:43	17:39	88:6	245:0	253:0
5	7:8	13:10	83:3	153:0	161:0
