10	9:42	12:16	34:10	87:36	105:0	127:43	220:39	225:0	337:0	345:0
10	5:17	19:17	20:38	52:13	77:0	197:0	208:26	234:13	309:0	317:0
10	7:17	21:17	22:38	54:13	79:0	199:0	210:26	236:13	311:0	319:0
10	3:9	17:1	57:0	73:27	74:24	158:1	177:0	185:41	289:0	297:0
10	2:33	19:19	43:0	46:29	52:4	163:0	198:31	217:40	275:0	283:0
10	1:32	9:19	24:0	56:43	116:30	132:23	144:0	205:20	256:0	264:0
10	0:19	7:16	8:33	13:0	82:7	124:24	133:0	182:43	245:0	253:0
10	10:14	12:16	22:43	28:16	39:0	159:0	231:31	236:36	271:0	279:0
10	6:23	15:33	30:42	62:32	100:0	142:32	162:21	220:0	332:0	340:0
10	11:13	13:15	23:42	29:15	32:0	152:0	224:31	237:35	264:0	272:0
10	18:26	22:23	86:0	97:26	116:34	128:36	167:27	206:0	318:0	326:0
10	6:9	20:1	60:0	76:27	77:24	153:2	180:0	188:41	292:0	300:0
10	3:34	8:37	64:20	65:33	88:0	173:22	195:12	208:0	320:0	328:0
10	1:0	5:6	9:21	90:39	92:21	121:0	150:36	185:32	241:0	352:0
10	4:9	18:1	58:0	74:27	75:24	159:1	178:0	186:41	290:0	298:0
10	6:17	20:17	21:38	53:13	78:0	198:0	209:26	235:13	310:0	318:0
10	7:34	12:37	68:20	69:33	92:0	169:23	199:12	212:0	324:0	332:0
10	5:31	14:8	17:13	64:0	104:13	146:8	184:0	211:40	296:0	304:0
10	1:10	23:1	63:0	72:25	79:27	156:2	183:0	191:41	295:0	303:0
10	8:30	11:44	19:0	20:44	36:27	139:0	158:2	172:42	251:0	259:0
10	18:23	22:25	82:0	101:25	112:34	132:35	163:27	202:0	314:0	322:0
10	3:32	12:9	23:13	70:0	110:13	144:9	190:0	209:41	302:0	310:0
10	4:23	13:33	28:42	60:32	98:0	140:32	160:21	218:0	330:0	338:0
10	5:33	22:19	41:30	46:0	55:4	166:0	193:32	220:40	278:0	286:0
10	8:42	11:16	33:10	86:36	104:0	126:43	219:39	224:0	336:0	344:0
10	1:32	10:9	21:13	68:0	108:13	150:8	188:0	215:40	300:0	308:0
10	0:24	9:34	24:43	56:33	102:0	136:33	164:21	222:0	334:0	342:0
10	4:28	17:38	20:44	106:25	118:0	141:41	205:44	238:0	350:0	358:0
10	5:34	10:37	66:20	67:33	90:0	175:22	197:12	210:0	322:0	330:0
10	12:30	15:44	16:0	23:0	32:28	143:0	154:3	168:43	255:0	263:0
10	1:25	20:12	44:5	54:0	98:17	174:0	176:10	231:43	286:0	294:0
10	11:42	14:16	36:10	81:37	107:0	121:44	222:39	227:0	339:0	347:0
10	3:28	16:38	19:44	105:25	117:0	140:41	204:44	237:0	349:0	357:0
10	12:42	15:16	37:10	82:37	108:0	122:44	223:39	228:0	340:0	348:0
10	9:17	14:42	39:10	84:37	110:0	124:44	217:40	230:0	342:0	350:0
10	7:27	20:37	23:43	109:24	113:0	136:41	200:44	233:0	345:0	353:0
10	13:13	15:15	17:43	31:15	34:0	154:0	226:31	239:35	266:0	274:0
10	5:16	6:18	11:0	14:32	80:7	122:24	131:0	180:43	243:0	251:0
10	0:28	16:44	21:37	110:24	114:0	137:41	201:44	234:0	346:0	354:0
10	7:23	8:34	31:42	63:32	101:0	143:32	163:21	221:0	333:0	341:0
10	2:28	18:44	23:37	104:25	116:0	139:41	203:44	236:0	348:0	356:0
10	10:30	13:44	21:0	22:44	38:27	141:0	152:3	174:42	253:0	261:0
10	16:26	20:23	84:0	103:25	114:34	134:35	165:27	204:0	316:0	324:0
10	2:23	11:33	26:42	58:32	96:0	138:32	166:20	216:0	328:0	336:0
