11	11:13	50:42	57:7	105:39	121:0	177:16	370:26	658:40	764:1	1281:0	1289:0
11	4:21	55:0	87:9	111:2	143:0	275:21	301:28	573:3	759:0	871:0	1438:0
11	10:33	36:2	78:5	104:26	130:3	233:0	357:7	611:2	788:6	1351:0	1359:0
11	29:15	35:43	68:0	105:1	122:8	261:8	319:32	618:24	812:0	1388:0	1396:0
11	11:8	33:5	65:1	109:2	134:37	224:17	315:9	518:9	832:34	1229:0	1237:0
11	19:32	42:29	86:1	117:0	140:10	194:16	334:0	507:10	772:1	1029:0	1037:0
11	3:11	51:30	77:0	98:38	128:35	205:36	460:39	655:15	794:19	904:0	912:0
11	14:9	57:3	85:4	99:9	127:8	247:22	469:10	481:0	813:19	992:0	1000:0
11	11:4	24:43	67:4	108:1	151:0	176:35	300:36	508:34	706:20	1135:0	1143:0
11	28:12	34:19	92:3	100:15	128:24	259:0	403:43	604:33	858:6	969:0	977:0
11	16:32	47:28	83:1	114:0	137:10	199:15	331:0	504:10	769:1	1026:0	1034:0
11	29:16	50:4	95:2	112:34	143:14	210:30	467:10	662:44	851:3	1204:0	1212:0
11	21:32	44:29	80:2	119:0	142:10	196:16	328:1	509:10	774:1	1031:0	1039:0
11	30:17	59:34	70:13	107:9	139:33	173:32	414:0	530:22	744:12	1021:0	1029:0
11	4:34	40:15	82:11	111:8	134:15	261:0	476:0	642:14	675:0	1250:0	1258:0
11	25:13	39:19	89:4	97:16	133:24	256:1	400:44	601:34	863:6	974:0	982:0
11	30:42	51:0	57:3	109:28	147:5	163:11	382:1	538:32	735:3	898:0	906:0
11	22:22	41:39	77:0	96:1	126:1	230:9	331:7	597:33	817:0	1233:0	1241:0
11	29:6	45:11	84:1	98:34	122:1	196:0	346:4	566:11	726:3	1332:0	1340:0
11	14:32	32:2	74:5	108:25	134:2	237:44	353:7	615:1	784:6	1347:0	1355:0
11	24:13	38:19	88:4	96:16	132:24	263:0	407:43	600:34	862:6	973:0	981:0
11	13:10	56:4	84:5	98:10	126:9	246:23	468:11	480:1	812:20	999:0	1007:0
11	31:6	47:11	86:1	100:34	124:1	198:0	348:4	560:12	720:4	1334:0	1342:0
11	25:3	61:33	83:15	113:6	132:0	294:34	306:25	665:6	859:2	1312:0	1320:0
11	26:12	60:12	72:13	114:27	120:0	229:5	345:30	671:16	766:9	1000:0	1008:0
11	2:21	38:9	59:1	99:0	151:1	176:18	454:35	613:3	719:2	1267:0	1275:0
11	4:9	48:26	74:0	112:41	150:2	254:23	341:17	582:0	702:12	937:0	945:0
11	29:29	35:16	84:32	109:0	124:12	213:16	438:28	638:26	688:10	1116:0	1124:0
11	13:44	63:15	64:0	125:27	132:9	190:18	406:0	486:32	700:0	1296:0	1304:0
11	30:12	36:19	94:3	102:15	130:24	261:0	405:43	606:33	860:6	971:0	979:0
11	17:6	42:18	79:30	100:25	129:7	163:19	293:11	584:1	675:25	1277:0	1285:0
11	0:40	34:2	75:30	106:6	121:3	222:1	385:5	583:0	695:0	894:0	902:0
11	16:0	52:19	73:0	94:2	144:26	181:12	410:18	657:39	783:40	865:0	873:0
11	7:42	38:35	69:22	100:12	133:10	150:31	387:9	501:44	722:7	1220:0	1228:0
11	22:31	45:28	81:1	112:0	143:9	197:15	329:0	510:9	775:0	1024:0	1032:0
11	23:21	39:29	84:13	97:31	130:3	281:0	399:11	642:1	780:22	1403:0	1411:0
11	8:1	34:0	68:43	115:10	129:0	235:8	400:0	571:31	825:1	912:0	920:0
11	1:11	25:21	66:0	100:1	138:0	232:2	320:13	566:28	784:0	1104:0	1112:0
11	21:38	40:1	87:7	92:0	140:32	286:0	415:33	628:0	820:6	1244:0	1252:0
11	19:11	43:42	75:35	112:5	136:1	272:29	340:25	541:3	758:33	1293:0	1301:0
11	13:34	53:11	71:5	111:17	147:0	270:22	452:0	613:0	751:43	1211:0	1219:0
11	6:39	32:2	73:30	104:6	127:2	220:1	391:4	581:0	693:0	892:0	900:0
11	31:3	43:39	74:13	116:22	128:34	284:7	330:2	518:7	806:34	1154:0	1162:0
11	28:16	49:4	94:2	119:33	142:14	209:30	466:10	661:44	850:3	1203:0	1211:0
11	9:33	38:34	62:2	100:22	135:0	207:41	431:0	495:7	683:31	1142:0	1150:0
11	7:5	52:38	69:0	121:11	139:11	276:12	422:29	623:35	705:39	932:0	940:0
11	1:6	54:38	71:0	123:11	141:11	278:12	416:30	617:36	707:39	934:0	942:0
11	17:44	40:11	57:0	113:0	124:0	252:7	468:11	489:10	776:6	1089:0	1097:0
11	21:43	45:4	62:2	117:42	139:0	256:25	425:0	553:3	826:2	921:0	929:0
11	28:29	34:16	83:32	108:0	123:12	212:16	437:28	637:26	695:9	1115:0	1123:0
11	18:17	43:6	84:20	113:1	120:5	289:30	454:19	497:29	811:1	1167:0	1175:0
11	19:26	57:10	86:29	102:20	129:22	202:24	463:4	651:15	720:38	1424:0	1432:0
11	26:13	32:20	90:4	98:16	134:24	257:1	401:44	602:34	856:7	975:0	983:0
11	5:18	44:0	88:39	103:17	127:31	166:6	376:1	534:0	771:31	1196:0	1204:0
11	6:20	41:1	69:19	113:21	141:0	246:0	421:15	484:28	683:6	1061:0	1069:0
11	4:18	36:24	91:7	114:34	123:1	254:0	342:0	579:4	767:4	878:0	886:0
11	5:0	56:43	79:25	98:3	150:18	195:22	445:12	533:4	805:21	1190:0	1198:0
11	10:43	37:0	93:5	117:37	147:30	271:18	388:13	524:44	833:6	1380:0	1388:0
11	27:6	43:11	82:1	96:34	120:1	194:0	344:4	564:11	724:3	1330:0	1338:0
11	24:43	53:0	59:3	111:28	149:5	165:11	376:2	540:32	729:4	900:0	908:0
11	0:21	51:0	83:9	107:2	139:0	279:20	297:28	569:3	755:0	867:0	1434:0
11	15:0	38:0	74:10	105:17	147:11	243:22	392:13	548:1	714:0	1098:0	1106:0
11	30:29	36:16	85:32	110:0	125:12	214:16	439:28	639:26	689:10	1117:0	1125:0
11	13:0	44:0	65:39	116:21	136:29	144:35	445:37	598:7	804:3	1084:0	1092:0
11	6:21	53:26	92:26	96:0	148:0	253:42	359:1	550:15	846:27	952:0	960:0
11	17:27	55:8	66:25	91:44	143:1	163:42	375:14	523:0	862:11	1256:0	1264:0
11	2:18	34:24	89:7	112:34	121:1	252:0	340:0	577:4	765:4	876:0	884:0
11	14:32	35:34	59:2	97:22	132:0	204:41	428:0	492:7	680:31	1139:0	1147:0
11	5:34	41:15	83:11	104:9	135:15	262:0	477:0	643:14	676:0	1251:0	1259:0
11	18:10	43:4	84:32	94:0	127:0	235:30	302:0	511:0	847:3	1326:0	1334:0
11	0:3	62:7	70:0	88:43	137:19	279:8	354:13	630:3	840:0	882:0	890:0
11	7:39	33:2	74:30	105:6	120:3	221:1	384:5	582:0	694:0	893:0	901:0
11	29:36	48:2	84:1	89:12	141:43	186:8	348:34	540:41	742:38	1072:0	1080:0
11	8:14	55:42	62:7	110:39	126:0	182:16	375:26	663:40	761:2	1286:0	1294:0
11	20:17	33:26	79:15	112:0	148:4	268:30	323:20	635:0	848:3	1408:0	1416:0
11	10:0	41:0	70:38	113:21	141:28	149:34	442:37	595:7	801:3	1081:0	1089:0
11	7:2	61:7	69:0	95:42	136:19	278:8	353:13	629:3	847:44	881:0	889:0
11	16:28	54:9	65:26	90:0	142:2	162:43	374:15	522:1	861:12	1263:0	1271:0
11	3:20	46:0	66:19	118:20	138:0	243:0	418:15	481:28	680:6	1058:0	1066:0
11	13:3	26:42	69:3	110:0	145:0	178:34	302:35	510:33	708:19	1129:0	1137:0
11	29:3	57:34	87:15	117:6	128:1	290:35	310:25	669:6	863:2	1316:0	1324:0
11	6:11	30:21	71:0	97:2	143:0	237:2	325:13	563:29	789:0	1109:0	1117:0
11	20:5	45:17	74:30	103:24	132:6	166:18	288:11	587:0	678:24	1272:0	1280:0
11	21:27	51:9	70:25	95:44	139:2	167:42	371:15	527:0	858:12	1260:0	1268:0
11	15:18	37:41	65:15	100:23	148:2	195:4	479:23	586:42	685:19	1125:0	1133:0
11	19:22	35:30	80:14	101:31	134:3	285:0	395:12	646:1	776:23	1407:0	1415:0
11	31:3	59:34	81:16	119:6	130:1	292:35	304:26	671:6	857:3	1318:0	1326:0
11	1:35	45:15	87:11	108:9	131:16	258:1	473:1	647:14	672:1	1255:0	1263:0
11	29:37	35:25	74:11	95:8	122:7	241:33	440:0	516:39	823:0	1304:0	1312:0
11	14:7	28:30	80:17	105:6	141:32	173:23	458:16	641:42	737:1	1367:0	1375:0
11	6:18	45:0	89:39	96:18	120:32	167:6	377:1	535:0	772:31	1197:0	1205:0
11	12:8	34:5	66:1	110:2	135:37	225:17	316:9	519:9	833:34	1230:0	1238:0
11	31:17	60:34	71:13	108:9	140:33	174:32	415:0	531:22	745:12	1022:0	1030:0
11	2:10	54:26	72:1	118:41	148:3	252:24	339:18	580:1	700:13	943:0	951:0
11	17:2	61:11	74:0	89:13	135:27	218:20	477:2	624:26	756:0	1010:0	1018:0
11	27:29	33:16	82:32	107:0	122:12	211:16	436:28	636:26	694:9	1114:0	1122:0
11	6:27	42:5	87:29	97:6	148:38	220:15	399:11	601:40	748:36	1174:0	1182:0
11	3:39	37:1	78:29	109:5	124:2	217:1	388:4	578:0	690:0	889:0	897:0
11	7:17	25:4	67:17	115:3	145:5	157:1	307:34	523:19	834:8	1046:0	1054:0
11	9:8	39:4	71:0	107:2	132:37	230:16	313:9	516:9	838:33	1227:0	1235:0
11	22:38	41:1	80:8	93:0	141:32	287:0	408:34	629:0	821:6	1245:0	1253:0
11	0:15	24:9	86:13	104:6	146:32	155:42	436:10	594:0	830:29	945:0	953:0
11	11:0	42:0	71:38	114:21	142:28	150:34	443:37	596:7	802:3	1082:0	1090:0
11	30:37	36:25	75:11	88:9	123:7	242:33	441:0	517:39	816:1	1305:0	1313:0
11	10:18	45:27	68:4	89:5	139:3	174:2	373:13	584:30	792:43	986:0	994:0
11	17:27	63:10	84:30	100:21	135:22	200:25	461:5	649:16	726:38	1430:0	1438:0
11	30:3	58:34	80:16	118:6	129:1	291:35	311:25	670:6	856:3	1317:0	1325:0
11	13:0	46:30	78:1	102:0	131:35	212:29	383:29	555:2	729:1	1356:0	1364:0
11	27:12	61:12	73:13	115:27	121:0	230:5	346:30	664:17	767:9	1001:0	1009:0
11	4:17	30:3	64:17	112:3	150:4	154:1	304:34	520:19	839:7	1043:0	1051:0
11	26:15	32:43	65:0	110:0	127:7	258:8	316:32	623:23	809:0	1385:0	1393:0
11	7:11	55:30	73:1	102:38	132:35	201:37	456:40	651:16	798:19	908:0	916:0
11	8:0	58:16	67:0	120:28	135:9	185:19	401:1	481:33	703:0	1299:0	1307:0
11	2:39	36:1	77:29	108:5	123:2	216:1	387:4	577:0	689:0	888:0	896:0
11	27:29	55:36	79:0	106:30	138:7	282:21	422:1	600:3	733:0	1147:0	1155:0
11	25:38	39:25	78:11	91:9	126:7	245:33	444:0	512:40	819:1	1308:0	1316:0
11	9:10	60:3	80:5	102:9	122:9	242:23	464:11	484:0	808:20	995:0	1003:0
11	18:32	41:29	85:1	116:0	139:10	193:16	333:0	506:10	771:1	1028:0	1036:0
11	20:0	48:20	77:0	90:3	148:26	177:13	414:18	661:39	779:41	869:0	877:0
11	15:32	36:34	60:2	98:22	133:0	205:41	429:0	493:7	681:31	1140:0	1148:0
