4	4:44	25:32	72:0	359:44
4	23:19	63:36	88:0	96:0
4	9:7	12:33	85:0	93:0
4	7:23	10:35	159:0	167:0
4	33:8	66:28	140:0	148:0
4	3:6	15:31	122:0	130:0
4	19:33	27:9	237:0	245:0
4	17:3	28:4	269:0	277:0
4	22:32	30:8	232:0	240:0
4	11:17	29:24	107:0	115:0
4	5:23	21:22	315:0	323:0
4	4:23	20:22	314:0	322:0
4	25:7	36:18	325:0	333:0
4	15:18	39:34	220:0	228:0
4	18:20	58:37	91:0	99:0
4	3:23	14:34	155:0	163:0
4	31:28	70:11	167:0	175:0
4	44:7	64:1	209:0	217:0
4	21:20	61:37	94:0	102:0
4	20:33	28:9	238:0	246:0
4	30:28	69:11	166:0	174:0
4	5:23	8:35	157:0	165:0
4	4:28	7:39	101:0	109:0
4	17:33	25:9	235:0	243:0
4	42:8	70:1	215:0	223:0
4	29:21	44:33	74:0	82:0
4	19:30	21:18	130:0	138:0
4	27:28	66:11	163:0	171:0
4	20:30	22:18	131:0	139:0
4	0:28	3:39	97:0	105:0
4	6:44	8:17	198:0	206:0
4	9:19	33:35	222:0	230:0
4	2:28	5:39	99:0	107:0
4	12:24	17:27	257:0	265:0
4	38:7	71:27	137:0	145:0
4	26:28	65:11	162:0	170:0
4	28:28	67:11	164:0	172:0
4	14:9	22:6	204:0	212:0
4	16:33	24:9	234:0	242:0
4	13:9	21:6	203:0	211:0
4	37:7	70:27	136:0	144:0
4	3:23	19:22	313:0	321:0
4	23:14	55:2	337:0	345:0
4	32:8	65:28	139:0	147:0
4	28:33	51:3	240:0	248:0
4	12:6	15:32	80:0	88:0
4	2:26	45:25	252:0	260:0
4	7:6	11:32	126:0	134:0
4	0:0	29:32	76:0	355:0
4	21:7	22:35	144:0	152:0
4	24:28	71:10	160:0	168:0
4	18:33	26:9	236:0	244:0
4	36:8	69:28	143:0	151:0
4	3:26	46:25	253:0	261:0
4	16:20	56:37	89:0	97:0
4	2:6	14:31	121:0	129:0
4	1:0	30:32	77:0	356:0
4	7:44	28:32	75:0	354:0
4	21:30	23:18	132:0	140:0
4	20:2	31:3	264:0	272:0
4	17:8	18:36	148:0	156:0
4	35:8	68:28	142:0	150:0
4	16:19	22:30	133:0	141:0
4	15:17	25:25	111:0	119:0
4	19:3	30:4	271:0	279:0
4	4:44	14:16	196:0	204:0
4	21:2	24:4	265:0	273:0
4	23:32	31:8	233:0	241:0
4	28:21	43:33	73:0	81:0
4	1:2	56:31	301:0	309:0
4	6:23	9:35	158:0	166:0
4	2:23	13:34	154:0	162:0
4	5:44	15:16	197:0	205:0
4	20:20	60:37	93:0	101:0
4	10:9	18:6	200:0	208:0
4	27:34	50:4	247:0	255:0
4	12:8	28:36	348:0	356:0
4	14:8	30:36	350:0	358:0
4	29:13	59:24	334:0	342:0
4	1:26	44:25	251:0	259:0
4	25:34	48:4	245:0	253:0
4	2:2	57:31	302:0	310:0
4	18:8	19:36	149:0	157:0
4	10:7	13:33	86:0	94:0
4	0:24	16:23	318:0	326:0
4	40:8	68:1	213:0	221:0
4	41:8	69:1	214:0	222:0
4	9:10	17:7	207:0	215:0
4	8:25	21:27	261:0	269:0
4	2:44	12:16	194:0	202:0
4	43:7	71:0	208:0	216:0
4	14:17	24:25	110:0	118:0
4	7:1	62:30	299:0	307:0
4	3:28	6:39	100:0	108:0
4	16:15	48:3	338:0	346:0
